HomeTeam,AwayTeam,FTHG,FTAG,FTR
Arsenal,Coventry,0,3,A
Aston Villa,QPR,4,1,H
Chelsea,Blackburn,1,2,A
Liverpool,Sheffield Weds,2,0,H
Man City,Leeds,1,1,D
Newcastle,Tottenham,0,1,A
Oldham,Ipswich,0,3,A
Sheffield United,Swindon,3,1,H
Southampton,Everton,0,2,A
West Ham,Wimbledon,0,2,A
Norwich,Man United,0,2,A
Tottenham,Arsenal,0,1,A
Everton,Man City,1,0,H
Ipswich,Southampton,1,0,H
Leeds,West Ham,1,0,H
Wimbledon,Chelsea,1,1,D
Blackburn,Norwich,2,3,A
Coventry,Newcastle,2,1,H
Man United,Sheffield United,3,0,H
QPR,Liverpool,1,3,A
Sheffield Weds,Aston Villa,0,0,D
Swindon,Oldham,0,1,A
Blackburn,Oldham,1,0,H
Coventry,West Ham,1,1,D
Everton,Sheffield United,4,2,H
Ipswich,Chelsea,1,0,H
Leeds,Norwich,0,4,A
Man United,Newcastle,1,1,D
QPR,Southampton,2,1,H
Sheffield Weds,Arsenal,0,1,A
Tottenham,Man City,1,0,H
Wimbledon,Aston Villa,2,2,D
Swindon,Liverpool,0,5,A
Aston Villa,Man United,1,2,A
Arsenal,Leeds,2,1,H
Man City,Blackburn,0,2,A
Oldham,Coventry,3,3,D
Sheffield United,Wimbledon,2,1,H
Chelsea,QPR,2,0,H
Liverpool,Tottenham,1,2,A
Newcastle,Everton,1,0,H
Norwich,Ipswich,1,0,H
Southampton,Swindon,5,1,H
West Ham,Sheffield Weds,2,0,H
Man City,Coventry,1,1,D
Arsenal,Everton,2,0,H
Aston Villa,Tottenham,1,0,H
Chelsea,Sheffield Weds,1,1,D
Liverpool,Leeds,2,0,H
Norwich,Swindon,0,0,D
Oldham,Wimbledon,1,1,D
Sheffield United,Ipswich,1,1,D
Southampton,Man United,1,3,A
West Ham,QPR,0,4,A
Newcastle,Blackburn,1,1,D
Leeds,Oldham,1,0,H
Everton,Aston Villa,0,1,A
Ipswich,Newcastle,1,1,D
Wimbledon,Southampton,1,0,H
Blackburn,Arsenal,1,1,D
Coventry,Liverpool,1,0,H
Man United,West Ham,3,0,H
QPR,Sheffield United,2,1,H
Sheffield Weds,Norwich,3,3,D
Swindon,Man City,1,3,A
Tottenham,Chelsea,1,1,D
Arsenal,Ipswich,4,0,H
Aston Villa,Coventry,0,0,D
Chelsea,Man United,1,0,H
Man City,QPR,3,0,H
Norwich,Wimbledon,0,1,A
Oldham,Everton,0,1,A
Sheffield United,Tottenham,2,2,D
Southampton,Leeds,0,2,A
West Ham,Swindon,0,0,D
Liverpool,Blackburn,0,1,A
Newcastle,Sheffield Weds,4,2,H
Blackburn,West Ham,0,2,A
Coventry,Chelsea,1,1,D
Everton,Liverpool,2,0,H
Ipswich,Aston Villa,1,2,A
Leeds,Sheffield United,2,1,H
QPR,Norwich,2,2,D
Sheffield Weds,Southampton,2,0,H
Swindon,Newcastle,2,2,D
Tottenham,Oldham,5,0,H
Man United,Arsenal,1,0,H
Wimbledon,Man City,1,0,H
Arsenal,Southampton,1,0,H
Blackburn,Sheffield Weds,1,1,D
Chelsea,Liverpool,1,0,H
Coventry,Leeds,0,2,A
Everton,Norwich,1,5,A
Man United,Swindon,4,2,H
Newcastle,West Ham,2,0,H
Oldham,Aston Villa,1,1,D
Sheffield United,Man City,0,1,A
Ipswich,Tottenham,2,2,D
Wimbledon,QPR,1,1,D
Aston Villa,Newcastle,0,2,A
Leeds,Wimbledon,4,0,H
Liverpool,Arsenal,0,0,D
Norwich,Coventry,1,0,H
QPR,Ipswich,3,0,H
Sheffield Weds,Man United,2,3,A
Southampton,Sheffield United,3,3,D
Swindon,Blackburn,1,3,A
West Ham,Chelsea,1,0,H
Tottenham,Everton,3,2,H
Man City,Oldham,1,1,D
Arsenal,Man City,0,0,D
Chelsea,Norwich,1,2,A
Coventry,Southampton,1,1,D
Liverpool,Oldham,2,1,H
Man United,Tottenham,2,1,H
Newcastle,QPR,1,2,A
Sheffield Weds,Wimbledon,2,2,D
