Date,HomeTeam,AwayTeam,HomeTeamId,AwayTeamId,EventId
2026-08-22,Genoa,Napoli,3263,114,401874929
2026-08-22,Internazionale,Monza,110,4007,401874931
2026-08-22,Parma,Cagliari,115,2925,401874747
2026-08-22,Udinese,Como,118,2572,401874745
2026-08-23,Atalanta,Sassuolo,105,3997,401874748
2026-08-23,Frosinone,Juventus,4057,111,401874930
2026-08-23,Torino,AC Milan,239,103,401874932
2026-08-23,Venezia,Lecce,17530,113,401874946
2026-08-24,AS Roma,Fiorentina,104,109,401874928
2026-08-24,Bologna,Lazio,107,112,401874927
2026-08-28,AC Milan,Venezia,103,17530,401874758
2026-08-29,Fiorentina,Frosinone,109,4057,401874942
2026-08-29,Juventus,Parma,111,115,401874746
2026-08-29,Monza,Udinese,4007,118,401874749
2026-08-29,Sassuolo,Torino,3997,239,401874743
2026-08-30,Cagliari,Internazionale,2925,110,401874938
2026-08-30,Lazio,Genoa,112,3263,401874742
2026-08-30,Napoli,Como,114,2572,401874755
2026-08-31,Atalanta,Bologna,105,107,401874970
2026-08-31,Lecce,AS Roma,113,104,401874945
2026-09-04,Genoa,Como,3263,2572,401874744
2026-09-05,AS Roma,Atalanta,104,105,401874781
2026-09-05,Fiorentina,Torino,109,239,401874939
2026-09-05,Internazionale,Napoli,110,114,401874937
2026-09-06,Bologna,Sassuolo,107,3997,401874751
2026-09-06,Frosinone,Venezia,4057,17530,401874768
2026-09-06,Juventus,AC Milan,111,103,401874954
2026-09-06,Parma,Monza,115,4007,401874987
2026-09-07,Cagliari,Lecce,2925,113,401874943
2026-09-07,Udinese,Lazio,118,112,401874962
2026-09-11,Venezia,Fiorentina,17530,109,401874759
2026-09-12,Atalanta,Cagliari,105,2925,401874979
2026-09-12,Genoa,Frosinone,3263,4057,401874991
2026-09-12,Sassuolo,Juventus,3997,111,401874750
2026-09-13,Como,Parma,2572,115,401874933
2026-09-13,Lazio,AC Milan,112,103,401874941
2026-09-13,Lecce,Monza,113,4007,401874936
2026-09-13,Napoli,Bologna,114,107,401874792
2026-09-13,Torino,AS Roma,239,104,401874950
2026-09-14,Internazionale,Udinese,110,118,401874966
2026-09-18,Monza,Sassuolo,4007,3997,401874756
2026-09-19,AS Roma,Internazionale,104,110,401874753
2026-09-19,Bologna,Torino,107,239,401874767
2026-09-19,Udinese,Cagliari,118,2925,401874964
2026-09-19,Venezia,Lazio,17530,112,401874956
2026-09-20,AC Milan,Lecce,103,113,401874944
2026-09-20,Fiorentina,Napoli,109,114,401874934
2026-09-20,Frosinone,Como,4057,2572,401874752
2026-09-20,Juventus,Atalanta,111,105,401874757
2026-09-20,Parma,Genoa,115,3263,401874801
2026-10-11,Atalanta,Venezia,105,17530,401875005
2026-10-11,Cagliari,Juventus,2925,111,401874764
2026-10-11,Como,AS Roma,2572,104,401874940
2026-10-11,Genoa,Fiorentina,3263,109,401874947
2026-10-11,Internazionale,Parma,110,115,401875021
2026-10-11,Lazio,Monza,112,4007,401874951
2026-10-11,Lecce,Bologna,113,107,401874776
2026-10-11,Napoli,Frosinone,114,4057,401874754
2026-10-11,Sassuolo,AC Milan,3997,103,401874789
2026-10-11,Torino,Udinese,239,118,401874763
2026-10-17,AC Milan,Atalanta,103,105,401874978
2026-10-17,AS Roma,Genoa,104,3263,401874935
2026-10-17,Bologna,Internazionale,107,110,401874953
2026-10-17,Fiorentina,Como,109,2572,401874774
2026-10-17,Frosinone,Sassuolo,4057,3997,401874959
2026-10-17,Juventus,Lazio,111,112,401874765
2026-10-17,Monza,Cagliari,4007,2925,401874762
2026-10-17,Parma,Torino,115,239,401874784
2026-10-17,Udinese,Lecce,118,113,401874771
2026-10-17,Venezia,Napoli,17530,114,401874760
2026-10-25,Atalanta,Frosinone,105,4057,401874972
2026-10-25,Cagliari,Bologna,2925,107,401874958
2026-10-25,Como,Sassuolo,2572,3997,401874961
2026-10-25,Genoa,Venezia,3263,17530,401874952
2026-10-25,Internazionale,Fiorentina,110,109,401875036
2026-10-25,Lazio,Parma,112,115,401874955
2026-10-25,Lecce,Juventus,113,111,401874772
2026-10-25,Napoli,AS Roma,114,104,401874948
2026-10-25,Torino,Monza,239,4007,401874957
2026-10-25,Udinese,AC Milan,118,103,401874779
2026-10-28,AC Milan,Bologna,103,107,401874993
2026-10-28,AS Roma,Cagliari,104,2925,401874780
2026-10-28,Fiorentina,Atalanta,109,105,401874969
2026-10-28,Frosinone,Lecce,4057,113,401874976
2026-10-28,Genoa,Juventus,3263,111,401874988
2026-10-28,Monza,Napoli,4007,114,401874799
2026-10-28,Parma,Udinese,115,118,401874965
2026-10-28,Sassuolo,Lazio,3997,112,401874980
2026-10-28,Torino,Como,239,2572,401874786
2026-10-28,Venezia,Internazionale,17530,110,401874773
2026-11-01,AC Milan,Internazionale,103,110,401874795
2026-11-01,Atalanta,Parma,105,115,401874971
2026-11-01,Bologna,Monza,107,4007,401874798
2026-11-01,Como,Venezia,2572,17530,401875002
2026-11-01,Frosinone,Torino,4057,239,401874782
2026-11-01,Juventus,Napoli,111,114,401874949
2026-11-01,Lazio,Cagliari,112,2925,401874983
2026-11-01,Lecce,Genoa,113,3263,401874968
2026-11-01,Sassuolo,Fiorentina,3997,109,401874963
2026-11-01,Udinese,AS Roma,118,104,401874990
2026-11-08,AS Roma,Sassuolo,104,3997,401874803
2026-11-08,Cagliari,Frosinone,2925,4057,401874791
2026-11-08,Fiorentina,Juventus,109,111,401875003
2026-11-08,Genoa,AC Milan,3263,103,401875018
2026-11-08,Internazionale,Como,110,2572,401874808
2026-11-08,Monza,Atalanta,4007,105,401874800
2026-11-08,Napoli,Lazio,114,112,401874810
2026-11-08,Parma,Bologna,115,107,401874974
2026-11-08,Torino,Lecce,239,113,401874811
2026-11-08,Venezia,Udinese,17530,118,401874815
2026-11-22,AC Milan,Frosinone,103,4057,401874989
2026-11-22,Atalanta,Internazionale,105,110,401875001
2026-11-22,Bologna,Udinese,107,118,401875047
2026-11-22,Como,Cagliari,2572,2925,401875056
2026-11-22,Juventus,Venezia,111,17530,401875008
2026-11-22,Lazio,Lecce,112,113,401874981
2026-11-22,Monza,Fiorentina,4007,109,401875009
2026-11-22,Napoli,Torino,114,239,401875067
2026-11-22,Parma,AS Roma,115,104,401874967
2026-11-22,Sassuolo,Genoa,3997,3263,401874960
2026-11-29,AS Roma,Monza,104,4007,401874769
2026-11-29,Cagliari,AC Milan,2925,103,401875019
2026-11-29,Como,Juventus,2572,111,401874994
2026-11-29,Frosinone,Parma,4057,115,401875081
2026-11-29,Internazionale,Genoa,110,3263,401874977
2026-11-29,Lecce,Atalanta,113,105,401875095
2026-11-29,Sassuolo,Napoli,3997,114,401874992
2026-11-29,Torino,Lazio,239,112,401874826
2026-11-29,Udinese,Fiorentina,118,109,401875031
2026-11-29,Venezia,Bologna,17530,107,401875004
2026-12-06,AC Milan,Parma,103,115,401874995
2026-12-06,Bologna,AS Roma,107,104,401874984
2026-12-06,Fiorentina,Cagliari,109,2925,401875107
2026-12-06,Frosinone,Internazionale,4057,110,401875023
2026-12-06,Genoa,Torino,3263,239,401875017
2026-12-06,Juventus,Udinese,111,118,401875006
2026-12-06,Lazio,Atalanta,112,105,401875029
2026-12-06,Monza,Como,4007,2572,401874975
