Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,Season
Bundesliga,2016-08-26,Bayern Munich,Werder Bremen,6,0,H,2016-17
Bundesliga,2016-08-27,Borussia Dortmund,Mainz,2,1,H,2016-17
Bundesliga,2016-08-27,Borussia Mönchengladbach,Bayer Leverkusen,2,1,H,2016-17
Bundesliga,2016-08-27,Eintracht Frankfurt,Schalke 04,1,0,H,2016-17
Bundesliga,2016-08-27,FC Augsburg,VfL Wolfsburg,0,2,A,2016-17
Bundesliga,2016-08-27,FC Cologne,SV Darmstadt 98,2,0,H,2016-17
Bundesliga,2016-08-27,Hamburg SV,FC Ingolstadt 04,1,1,D,2016-17
Bundesliga,2016-08-28,Hertha Berlin,SC Freiburg,2,1,H,2016-17
Bundesliga,2016-08-28,TSG Hoffenheim,RB Leipzig,2,2,D,2016-17
Bundesliga,2016-09-09,Schalke 04,Bayern Munich,0,2,A,2016-17
Bundesliga,2016-09-10,Bayer Leverkusen,Hamburg SV,3,1,H,2016-17
Bundesliga,2016-09-10,FC Ingolstadt 04,Hertha Berlin,0,2,A,2016-17
Bundesliga,2016-09-10,RB Leipzig,Borussia Dortmund,1,0,H,2016-17
Bundesliga,2016-09-10,SC Freiburg,Borussia Mönchengladbach,3,1,H,2016-17
Bundesliga,2016-09-10,SV Darmstadt 98,Eintracht Frankfurt,1,0,H,2016-17
Bundesliga,2016-09-10,VfL Wolfsburg,FC Cologne,0,0,D,2016-17
Bundesliga,2016-09-11,Mainz,TSG Hoffenheim,4,4,D,2016-17
Bundesliga,2016-09-11,Werder Bremen,FC Augsburg,1,2,A,2016-17
Bundesliga,2016-09-16,FC Cologne,SC Freiburg,3,0,H,2016-17
Bundesliga,2016-09-17,Bayern Munich,FC Ingolstadt 04,3,1,H,2016-17
Bundesliga,2016-09-17,Borussia Dortmund,SV Darmstadt 98,6,0,H,2016-17
Bundesliga,2016-09-17,Borussia Mönchengladbach,Werder Bremen,4,1,H,2016-17
Bundesliga,2016-09-17,Eintracht Frankfurt,Bayer Leverkusen,2,1,H,2016-17
Bundesliga,2016-09-17,Hamburg SV,RB Leipzig,0,4,A,2016-17
Bundesliga,2016-09-17,TSG Hoffenheim,VfL Wolfsburg,0,0,D,2016-17
Bundesliga,2016-09-18,FC Augsburg,Mainz,1,3,A,2016-17
Bundesliga,2016-09-18,Hertha Berlin,Schalke 04,2,0,H,2016-17
Bundesliga,2016-09-20,FC Ingolstadt 04,Eintracht Frankfurt,0,2,A,2016-17
Bundesliga,2016-09-20,SC Freiburg,Hamburg SV,1,0,H,2016-17
Bundesliga,2016-09-20,SV Darmstadt 98,TSG Hoffenheim,1,1,D,2016-17
Bundesliga,2016-09-20,VfL Wolfsburg,Borussia Dortmund,1,5,A,2016-17
Bundesliga,2016-09-21,Bayer Leverkusen,FC Augsburg,0,0,D,2016-17
Bundesliga,2016-09-21,Bayern Munich,Hertha Berlin,3,0,H,2016-17
Bundesliga,2016-09-21,RB Leipzig,Borussia Mönchengladbach,1,1,D,2016-17
Bundesliga,2016-09-21,Schalke 04,FC Cologne,1,3,A,2016-17
