Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,Season
Ligue 1,2016-08-12,AS Monaco,Guingamp,2,2,D,2016-17
Ligue 1,2016-08-12,Bastia,Paris Saint-Germain,0,1,A,2016-17
Ligue 1,2016-08-13,Bordeaux,Saint-Étienne,3,2,H,2016-17
Ligue 1,2016-08-13,Caen,Lorient,3,2,H,2016-17
Ligue 1,2016-08-13,Dijon FCO,Nantes,0,1,A,2016-17
Ligue 1,2016-08-13,Metz,Lille,3,2,H,2016-17
Ligue 1,2016-08-13,Montpellier,Angers,1,0,H,2016-17
Ligue 1,2016-08-14,AS Nancy Lorraine,Lyon,0,3,A,2016-17
Ligue 1,2016-08-14,Marseille,Toulouse,0,0,D,2016-17
Ligue 1,2016-08-14,Nice,Stade Rennais,1,0,H,2016-17
Ligue 1,2016-08-19,Lyon,Caen,2,0,H,2016-17
Ligue 1,2016-08-20,Angers,Nice,0,1,A,2016-17
Ligue 1,2016-08-20,Lille,Dijon FCO,1,0,H,2016-17
Ligue 1,2016-08-20,Lorient,Bastia,0,3,A,2016-17
Ligue 1,2016-08-20,Nantes,AS Monaco,0,1,A,2016-17
Ligue 1,2016-08-20,Stade Rennais,AS Nancy Lorraine,2,0,H,2016-17
Ligue 1,2016-08-20,Toulouse,Bordeaux,4,1,H,2016-17
Ligue 1,2016-08-21,Guingamp,Marseille,2,1,H,2016-17
Ligue 1,2016-08-21,Paris Saint-Germain,Metz,3,0,H,2016-17
Ligue 1,2016-08-21,Saint-Étienne,Montpellier,3,1,H,2016-17
Ligue 1,2016-08-26,Marseille,Lorient,2,0,H,2016-17
Ligue 1,2016-08-27,AS Nancy Lorraine,Guingamp,0,2,A,2016-17
Ligue 1,2016-08-27,Caen,Bastia,2,0,H,2016-17
Ligue 1,2016-08-27,Dijon FCO,Lyon,4,2,H,2016-17
Ligue 1,2016-08-27,Metz,Angers,2,0,H,2016-17
Ligue 1,2016-08-27,Montpellier,Stade Rennais,1,1,D,2016-17
Ligue 1,2016-08-27,Nice,Lille,1,1,D,2016-17
Ligue 1,2016-08-28,AS Monaco,Paris Saint-Germain,3,1,H,2016-17
Ligue 1,2016-08-28,Bordeaux,Nantes,1,0,H,2016-17
Ligue 1,2016-08-28,Saint-Étienne,Toulouse,0,0,D,2016-17
Ligue 1,2016-09-09,Paris Saint-Germain,Saint-Étienne,1,1,D,2016-17
Ligue 1,2016-09-10,Angers,Dijon FCO,3,1,H,2016-17
Ligue 1,2016-09-10,Bastia,Toulouse,2,1,H,2016-17
Ligue 1,2016-09-10,Guingamp,Montpellier,1,1,D,2016-17
Ligue 1,2016-09-10,Lille,AS Monaco,1,4,A,2016-17
Ligue 1,2016-09-10,Lorient,AS Nancy Lorraine,0,2,A,2016-17
Ligue 1,2016-09-10,Lyon,Bordeaux,1,3,A,2016-17
Ligue 1,2016-09-11,Nantes,Metz,0,3,A,2016-17
Ligue 1,2016-09-11,Nice,Marseille,3,2,H,2016-17
Ligue 1,2016-09-11,Stade Rennais,Caen,2,0,H,2016-17
Ligue 1,2016-09-16,Caen,Paris Saint-Germain,0,6,A,2016-17
Ligue 1,2016-09-17,AS Monaco,Stade Rennais,3,0,H,2016-17
Ligue 1,2016-09-17,AS Nancy Lorraine,Nantes,1,1,D,2016-17
Ligue 1,2016-09-17,Bordeaux,Angers,0,1,A,2016-17
Ligue 1,2016-09-17,Dijon FCO,Metz,0,0,D,2016-17
Ligue 1,2016-09-17,Lorient,Lille,1,0,H,2016-17
Ligue 1,2016-09-17,Toulouse,Guingamp,2,1,H,2016-17
Ligue 1,2016-09-18,Marseille,Lyon,0,0,D,2016-17
Ligue 1,2016-09-18,Montpellier,Nice,1,1,D,2016-17
Ligue 1,2016-09-18,Saint-Étienne,Bastia,1,0,H,2016-17
Ligue 1,2016-09-20,Lille,Toulouse,1,2,A,2016-17
Ligue 1,2016-09-20,Paris Saint-Germain,Dijon FCO,3,0,H,2016-17
Ligue 1,2016-09-21,Angers,Caen,2,1,H,2016-17
Ligue 1,2016-09-21,Bastia,AS Nancy Lorraine,0,0,D,2016-17
Ligue 1,2016-09-21,Guingamp,Lorient,1,0,H,2016-17
Ligue 1,2016-09-21,Lyon,Montpellier,5,1,H,2016-17
Ligue 1,2016-09-21,Metz,Bordeaux,0,3,A,2016-17
Ligue 1,2016-09-21,Nantes,Saint-Étienne,0,0,D,2016-17
Ligue 1,2016-09-21,Nice,AS Monaco,4,0,H,2016-17
Ligue 1,2016-09-21,Stade Rennais,Marseille,3,2,H,2016-17
Ligue 1,2016-09-23,Toulouse,Paris Saint-Germain,2,0,H,2016-17
Ligue 1,2016-09-24,AS Monaco,Angers,2,1,H,2016-17
Ligue 1,2016-09-24,Bastia,Guingamp,1,0,H,2016-17
Ligue 1,2016-09-24,Bordeaux,Caen,0,0,D,2016-17
Ligue 1,2016-09-24,Dijon FCO,Stade Rennais,3,0,H,2016-17
Ligue 1,2016-09-24,Lorient,Lyon,1,0,H,2016-17
Ligue 1,2016-09-24,Montpellier,Metz,0,1,A,2016-17
Ligue 1,2016-09-25,AS Nancy Lorraine,Nice,0,1,A,2016-17
Ligue 1,2016-09-25,Marseille,Nantes,2,1,H,2016-17
Ligue 1,2016-09-25,Saint-Étienne,Lille,3,1,H,2016-17
Ligue 1,2016-09-30,Stade Rennais,Guingamp,1,0,H,2016-17
Ligue 1,2016-10-01,Caen,Toulouse,1,0,H,2016-17
Ligue 1,2016-10-01,Dijon FCO,Montpellier,3,3,D,2016-17
Ligue 1,2016-10-01,Lille,AS Nancy Lorraine,1,0,H,2016-17
Ligue 1,2016-10-01,Metz,AS Monaco,0,7,A,2016-17
Ligue 1,2016-10-01,Nantes,Bastia,1,0,H,2016-17
Ligue 1,2016-10-01,Paris Saint-Germain,Bordeaux,2,0,H,2016-17
Ligue 1,2016-10-02,Angers,Marseille,1,1,D,2016-17
Ligue 1,2016-10-02,Lyon,Saint-Étienne,2,0,H,2016-17
Ligue 1,2016-10-02,Nice,Lorient,2,1,H,2016-17
Ligue 1,2016-10-14,Nice,Lyon,2,0,H,2016-17
Ligue 1,2016-10-14,Toulouse,AS Monaco,3,1,H,2016-17
Ligue 1,2016-10-15,AS Nancy Lorraine,Paris Saint-Germain,1,2,A,2016-17
Ligue 1,2016-10-15,Bastia,Angers,1,2,A,2016-17
Ligue 1,2016-10-15,Guingamp,Lille,1,0,H,2016-17
Ligue 1,2016-10-15,Lorient,Nantes,1,2,A,2016-17
Ligue 1,2016-10-15,Montpellier,Caen,3,2,H,2016-17
Ligue 1,2016-10-16,Marseille,Metz,1,0,H,2016-17
Ligue 1,2016-10-16,Saint-Étienne,Dijon FCO,1,1,D,2016-17
Ligue 1,2016-10-16,Stade Rennais,Bordeaux,1,1,D,2016-17
Ligue 1,2016-10-21,AS Monaco,Montpellier,6,2,H,2016-17
Ligue 1,2016-10-22,Angers,Toulouse,0,0,D,2016-17
Ligue 1,2016-10-22,Bordeaux,AS Nancy Lorraine,1,1,D,2016-17
Ligue 1,2016-10-22,Dijon FCO,Lorient,1,0,H,2016-17
Ligue 1,2016-10-22,Lille,Bastia,2,1,H,2016-17
Ligue 1,2016-10-22,Lyon,Guingamp,1,3,A,2016-17
