Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,Season
Serie A,2016-08-20,AS Roma,Udinese,4,0,H,2016-17
Serie A,2016-08-20,Juventus,Fiorentina,2,1,H,2016-17
Serie A,2016-08-21,AC Milan,Torino,3,2,H,2016-17
Serie A,2016-08-21,Atalanta,Lazio,3,4,A,2016-17
Serie A,2016-08-21,Bologna,Crotone,1,0,H,2016-17
Serie A,2016-08-21,Chievo Verona,Internazionale,2,0,H,2016-17
Serie A,2016-08-21,Empoli,Sampdoria,0,1,A,2016-17
Serie A,2016-08-21,Genoa,Cagliari,3,1,H,2016-17
Serie A,2016-08-21,Palermo,Sassuolo,0,1,A,2016-17
Serie A,2016-08-21,Pescara,Napoli,2,2,D,2016-17
Serie A,2016-08-27,Lazio,Juventus,0,1,A,2016-17
Serie A,2016-08-27,Napoli,AC Milan,4,2,H,2016-17
Serie A,2016-08-28,Cagliari,AS Roma,2,2,D,2016-17
Serie A,2016-08-28,Crotone,Genoa,1,3,A,2016-17
Serie A,2016-08-28,Fiorentina,Chievo Verona,1,0,H,2016-17
Serie A,2016-08-28,Internazionale,Palermo,1,1,D,2016-17
Serie A,2016-08-28,Sampdoria,Atalanta,2,1,H,2016-17
Serie A,2016-08-28,Sassuolo,Pescara,2,1,H,2016-17
Serie A,2016-08-28,Torino,Bologna,5,1,H,2016-17
Serie A,2016-08-28,Udinese,Empoli,2,0,H,2016-17
Serie A,2016-09-10,Juventus,Sassuolo,3,1,H,2016-17
Serie A,2016-09-10,Palermo,Napoli,0,3,A,2016-17
Serie A,2016-09-11,AC Milan,Udinese,0,1,A,2016-17
Serie A,2016-09-11,AS Roma,Sampdoria,3,2,H,2016-17
Serie A,2016-09-11,Atalanta,Torino,2,1,H,2016-17
Serie A,2016-09-11,Bologna,Cagliari,2,1,H,2016-17
Serie A,2016-09-11,Chievo Verona,Lazio,1,1,D,2016-17
Serie A,2016-09-11,Pescara,Internazionale,1,2,A,2016-17
Serie A,2016-09-12,Empoli,Crotone,2,1,H,2016-17
Serie A,2016-09-16,Sampdoria,AC Milan,0,1,A,2016-17
Serie A,2016-09-17,Lazio,Pescara,3,0,H,2016-17
Serie A,2016-09-17,Napoli,Bologna,3,1,H,2016-17
Serie A,2016-09-18,Cagliari,Atalanta,3,0,H,2016-17
Serie A,2016-09-18,Crotone,Palermo,1,1,D,2016-17
Serie A,2016-09-18,Fiorentina,AS Roma,1,0,H,2016-17
Serie A,2016-09-18,Internazionale,Juventus,2,1,H,2016-17
Serie A,2016-09-18,Sassuolo,Genoa,2,0,H,2016-17
Serie A,2016-09-18,Torino,Empoli,0,0,D,2016-17
Serie A,2016-09-18,Udinese,Chievo Verona,1,2,A,2016-17
Serie A,2016-09-20,AC Milan,Lazio,2,0,H,2016-17
Serie A,2016-09-21,AS Roma,Crotone,4,0,H,2016-17
Serie A,2016-09-21,Atalanta,Palermo,0,1,A,2016-17
Serie A,2016-09-21,Bologna,Sampdoria,2,0,H,2016-17
Serie A,2016-09-21,Chievo Verona,Sassuolo,2,1,H,2016-17
Serie A,2016-09-21,Empoli,Internazionale,0,2,A,2016-17
Serie A,2016-09-21,Genoa,Napoli,0,0,D,2016-17
Serie A,2016-09-21,Juventus,Cagliari,4,0,H,2016-17
Serie A,2016-09-21,Pescara,Torino,0,0,D,2016-17
Serie A,2016-09-21,Udinese,Fiorentina,2,2,D,2016-17
Serie A,2016-09-24,Napoli,Chievo Verona,2,0,H,2016-17
Serie A,2016-09-24,Palermo,Juventus,0,1,A,2016-17
Serie A,2016-09-25,Fiorentina,AC Milan,0,0,D,2016-17
Serie A,2016-09-25,Genoa,Pescara,1,1,D,2016-17
Serie A,2016-09-25,Internazionale,Bologna,1,1,D,2016-17
Serie A,2016-09-25,Lazio,Empoli,2,0,H,2016-17
Serie A,2016-09-25,Sassuolo,Udinese,1,0,H,2016-17
Serie A,2016-09-25,Torino,AS Roma,3,1,H,2016-17
Serie A,2016-09-26,Cagliari,Sampdoria,2,1,H,2016-17
Serie A,2016-09-26,Crotone,Atalanta,1,3,A,2016-17
Serie A,2016-10-01,Pescara,Chievo Verona,0,2,A,2016-17
Serie A,2016-10-01,Udinese,Lazio,0,3,A,2016-17
Serie A,2016-10-02,AC Milan,Sassuolo,4,3,H,2016-17
Serie A,2016-10-02,AS Roma,Internazionale,2,1,H,2016-17
Serie A,2016-10-02,Atalanta,Napoli,1,0,H,2016-17
Serie A,2016-10-02,Bologna,Genoa,0,1,A,2016-17
Serie A,2016-10-02,Cagliari,Crotone,2,1,H,2016-17
Serie A,2016-10-02,Empoli,Juventus,0,3,A,2016-17
Serie A,2016-10-02,Sampdoria,Palermo,1,1,D,2016-17
Serie A,2016-10-02,Torino,Fiorentina,2,1,H,2016-17
Serie A,2016-10-15,Juventus,Udinese,2,1,H,2016-17
Serie A,2016-10-15,Napoli,AS Roma,1,3,A,2016-17
Serie A,2016-10-15,Pescara,Sampdoria,1,1,D,2016-17
Serie A,2016-10-16,Chievo Verona,AC Milan,1,3,A,2016-17
Serie A,2016-10-16,Fiorentina,Atalanta,0,0,D,2016-17
Serie A,2016-10-16,Genoa,Empoli,0,0,D,2016-17
Serie A,2016-10-16,Internazionale,Cagliari,1,2,A,2016-17
Serie A,2016-10-16,Lazio,Bologna,1,1,D,2016-17
Serie A,2016-10-16,Sassuolo,Crotone,2,1,H,2016-17
Serie A,2016-10-17,Palermo,Torino,1,4,A,2016-17
Serie A,2016-10-22,AC Milan,Juventus,1,0,H,2016-17
Serie A,2016-10-22,Sampdoria,Genoa,2,1,H,2016-17
Serie A,2016-10-23,AS Roma,Palermo,4,1,H,2016-17
Serie A,2016-10-23,Atalanta,Internazionale,2,1,H,2016-17
Serie A,2016-10-23,Bologna,Sassuolo,1,1,D,2016-17
Serie A,2016-10-23,Cagliari,Fiorentina,3,5,A,2016-17
Serie A,2016-10-23,Crotone,Napoli,1,2,A,2016-17
Serie A,2016-10-23,Empoli,Chievo Verona,0,0,D,2016-17
Serie A,2016-10-23,Torino,Lazio,2,2,D,2016-17
Serie A,2016-10-23,Udinese,Pescara,3,1,H,2016-17
Serie A,2016-10-25,Genoa,AC Milan,3,0,H,2016-17
Serie A,2016-10-26,Chievo Verona,Bologna,1,1,D,2016-17
Serie A,2016-10-26,Fiorentina,Crotone,1,1,D,2016-17
Serie A,2016-10-26,Internazionale,Torino,2,1,H,2016-17
Serie A,2016-10-26,Juventus,Sampdoria,4,1,H,2016-17
Serie A,2016-10-26,Lazio,Cagliari,4,1,H,2016-17
Serie A,2016-10-26,Napoli,Empoli,2,0,H,2016-17
Serie A,2016-10-26,Pescara,Atalanta,0,1,A,2016-17
