team,player_code,player_name,position,photo_url,portrait_source
Arsenal,198869,Benjamin White,Defender,https://resources.premierleague.com/premierleague/photos/players/110x140/p198869.png,Premier League
Arsenal,500040,Cristhian Mosquera,Defender,https://resources.premierleague.com/premierleague/photos/players/110x140/p500040.png,Premier League
Arsenal,226597,Gabriel dos Santos Magalhães,Defender,https://resources.premierleague.com/premierleague/photos/players/110x140/p226597.png,Premier League
Arsenal,445122,Jurriën Timber,Defender,https://resources.premierleague.com/premierleague/photos/players/110x140/p445122.png,Premier League
Arsenal,448104,Piero Hincapié,Defender,https://resources.premierleague.com/premierleague/photos/players/110x140/p448104.png,Premier League
Arsenal,466075,Riccardo Calafiori,Defender,https://resources.premierleague.com/premierleague/photos/players/110x140/p466075.png,Premier League
Arsenal,462424,William Saliba,Defender,https://resources.premierleague.com/premierleague/photos/players/110x140/p462424.png,Premier League
Arsenal,205651,Gabriel Fernando de Jesus,Forward,https://resources.premierleague.com/premierleague/photos/players/110x140/p205651.png,Premier League
Arsenal,219847,Kai Havertz,Forward,https://resources.premierleague.com/premierleague/photos/players/110x140/p219847.png,Premier League
Arsenal,224117,Viktor Gyökeres,Forward,https://resources.premierleague.com/premierleague/photos/players/110x140/p224117.png,Premier League
Arsenal,154561,David Raya Martín,Goalkeeper,https://resources.premierleague.com/premierleague/photos/players/110x140/p154561.png,Premier League
Arsenal,437495,Illan Meslier,Goalkeeper,https://resources.premierleague.com/premierleague/photos/players/110x140/p437495.png,Premier League
Arsenal,109745,Kepa Arrizabalaga Revuelta,Goalkeeper,https://resources.premierleague.com/premierleague/photos/players/110x140/p109745.png,Premier League
Arsenal,223340,Bukayo Saka,Midfielder,https://resources.premierleague.com/premierleague/photos/players/110x140/p223340.png,Premier League
Arsenal,128295,Christian Nørgaard,Midfielder,https://resources.premierleague.com/premierleague/photos/players/110x140/p128295.png,Premier League
Arsenal,439509,Christos Tzolis,Midfielder,https://resources.premierleague.com/premierleague/photos/players/110x140/p439509.png,Premier League
Arsenal,204480,Declan Rice,Midfielder,https://resources.premierleague.com/premierleague/photos/players/110x140/p204480.png,Premier League
Arsenal,232413,Eberechi Eze,Midfielder,https://resources.premierleague.com/premierleague/photos/players/110x140/p232413.png,Premier League
Arsenal,499175,Ethan Nwaneri,Midfielder,https://resources.premierleague.com/premierleague/photos/players/110x140/p499175.png,Premier League
Arsenal,438098,Fábio Ferreira Vieira,Midfielder,https://resources.premierleague.com/premierleague/photos/players/110x140/p438098.png,Premier League
Arsenal,444145,Gabriel Martinelli Silva,Midfielder,https://resources.premierleague.com/premierleague/photos/players/110x140/p444145.png,Premier League
Arsenal,184029,Martin Ødegaard,Midfielder,https://resources.premierleague.com/premierleague/photos/players/110x140/p184029.png,Premier League
Arsenal,481655,Martín Zubimendi Ibáñez,Midfielder,https://resources.premierleague.com/premierleague/photos/players/110x140/p481655.png,Premier League
Arsenal,616077,Max Dowman,Midfielder,https://resources.premierleague.com/premierleague/photos/players/110x140/p616077.png,Premier League
Arsenal,195384,Mikel Merino Zazón,Midfielder,https://resources.premierleague.com/premierleague/photos/players/110x140/p195384.png,Premier League
Arsenal,499169,Myles Lewis-Skelly,Midfielder,https://resources.premierleague.com/premierleague/photos/players/110x140/p499169.png,Premier League
Arsenal,248857,Noni Madueke,Midfielder,https://resources.premierleague.com/premierleague/photos/players/110x140/p248857.png,Premier League
Arsenal,200641,Reiss Nelson,Midfielder,https://resources.premierleague.com/premierleague/photos/players/110x140/p200641.png,Premier League
Aston Villa,606798,Andrés García,Defender,https://resources.premierleague.com/premierleague/photos/players/110x140/p606798.png,Premier League
Aston Villa,199798,Ezri Konsa Ngoyo,Defender,https://resources.premierleague.com/premierleague/photos/players/110x140/p199798.png,Premier League
Aston Villa,441302,Ian Maatsen,Defender,https://resources.premierleague.com/premierleague/photos/players/110x140/p441302.png,Premier League
Aston Villa,578545,Kosta Nedeljkovic,Defender,https://resources.premierleague.com/premierleague/photos/players/110x140/p578545.png,Premier League
Aston Villa,101188,Lucas Digne,Defender,https://resources.premierleague.com/premierleague/photos/players/110x140/p101188.png,Premier League
Aston Villa,199796,Matty Cash,Defender,https://resources.premierleague.com/premierleague/photos/players/110x140/p199796.png,Premier League
Aston Villa,244954,Pau Torres,Defender,https://resources.premierleague.com/premierleague/photos/players/110x140/p244954.png,Premier League
Aston Villa,149484,Tyrone Mings,Defender,https://resources.premierleague.com/premierleague/photos/players/110x140/p149484.png,Premier League
Aston Villa,184667,Victor Lindelöf,Defender,https://resources.premierleague.com/premierleague/photos/players/110x140/p184667.png,Premier League
Aston Villa,178301,Ollie Watkins,Forward,https://resources.premierleague.com/premierleague/photos/players/110x140/p178301.png,Premier League
Aston Villa,173879,Tammy Abraham,Forward,https://resources.premierleague.com/premierleague/photos/players/110x140/p173879.png,Premier League
Aston Villa,98980,Emiliano Martínez Romero,Goalkeeper,https://resources.premierleague.com/premierleague/photos/players/110x140/p98980.png,Premier League
Aston Villa,72147,Marco Bizot,Goalkeeper,https://resources.premierleague.com/premierleague/photos/players/110x140/p72147.png,Premier League
Aston Villa,493105,Alejandro Garnacho Ferreyra,Midfielder,https://resources.premierleague.com/premierleague/photos/players/110x140/p493105.png,Premier League
Aston Villa,653481,Alysson Edward Franco da Rocha dos Santos,Midfielder,https://resources.premierleague.com/premierleague/photos/players/110x140/p653481.png,Premier League
Aston Villa,449871,Amadou Onana,Midfielder,https://resources.premierleague.com/premierleague/photos/players/110x140/p449871.png,Premier League
Aston Villa,226944,Boubacar Kamara,Midfielder,https://resources.premierleague.com/premierleague/photos/players/110x140/p226944.png,Premier League
Aston Villa,645618,Bradley Burrowes,Midfielder,https://resources.premierleague.com/premierleague/photos/players/110x140/p645618.png,Premier League
Aston Villa,195546,Emiliano Buendía Stati,Midfielder,https://resources.premierleague.com/premierleague/photos/players/110x140/p195546.png,Premier League
Aston Villa,485337,Evann Guessand,Midfielder,https://resources.premierleague.com/premierleague/photos/players/110x140/p485337.png,Premier League
Aston Villa,577285,George Hemmings,Midfielder,https://resources.premierleague.com/premierleague/photos/players/110x140/p577285.png,Premier League
Aston Villa,448089,Joao Gomes,Midfielder,https://resources.premierleague.com/premierleague/photos/players/110x140/p448089.png,Premier League
Aston Villa,614071,Johan Manzambi,Midfielder,https://resources.premierleague.com/premierleague/photos/players/110x140/p614071.png,Premier League
Aston Villa,122806,John McGinn,Midfielder,https://resources.premierleague.com/premierleague/photos/players/110x140/p122806.png,Premier League
Aston Villa,515597,Lamare Bogarde,Midfielder,https://resources.premierleague.com/premierleague/photos/players/110x140/p515597.png,Premier League
Aston Villa,215711,Leon Bailey,Midfielder,https://resources.premierleague.com/premierleague/photos/players/110x140/p215711.png,Premier League
Aston Villa,88894,Ross Barkley,Midfielder,https://resources.premierleague.com/premierleague/photos/players/110x140/p88894.png,Premier League
Aston Villa,469247,Samuel Iling-Junior,Midfielder,https://resources.premierleague.com/premierleague/photos/players/110x140/p469247.png,Premier League
Bournemouth,54469,Adam Smith,Defender,https://resources.premierleague.com/premierleague/photos/players/110x140/p54469.png,Premier League
Bournemouth,494521,Adrien Truffert,Defender,https://resources.premierleague.com/premierleague/photos/players/110x140/p494521.png,Premier League
Bournemouth,242882,Bafodé Diakité,Defender,https://resources.premierleague.com/premierleague/photos/players/110x140/p242882.png,Premier League
Bournemouth,463981,James Hill,Defender,https://resources.premierleague.com/premierleague/photos/players/110x140/p463981.png,Premier League
Bournemouth,575901,Julio Soler Barreto,Defender,https://resources.premierleague.com/premierleague/photos/players/110x140/p575901.png,Premier League
Bournemouth,436893,Julián Araujo Zúñiga,Defender,https://resources.premierleague.com/premierleague/photos/players/110x140/p436893.png,Premier League
Bournemouth,620487,Veljko Milosavljevic,Defender,https://resources.premierleague.com/premierleague/photos/players/110x140/p620487.png,Premier League
Bournemouth,168636,Enes Ünal,Forward,https://resources.premierleague.com/premierleague/photos/players/110x140/p168636.png,Premier League
Bournemouth,444102,Francisco Evanilson de Lima Barbosa,Forward,https://resources.premierleague.com/premierleague/photos/players/110x140/p444102.png,Premier League
Bournemouth,561245,Álvaro Rodríguez,Forward,https://resources.premierleague.com/premierleague/photos/players/110x140/p561245.png,Premier League
Bournemouth,40383,Fraser Forster,Goalkeeper,https://resources.premierleague.com/premierleague/photos/players/110x140/p40383.png,Premier League
Bournemouth,444172,Will Dennis,Goalkeeper,https://resources.premierleague.com/premierleague/photos/players/110x140/p444172.png,Premier League
Bournemouth,457569,Đorđe Petrović,Goalkeeper,https://resources.premierleague.com/premierleague/photos/players/110x140/p457569.png,Premier League
Bournemouth,503139,Alex Scott,Midfielder,https://resources.premierleague.com/premierleague/photos/players/110x140/p503139.png,Premier League
Bournemouth,614574,Alex Tóth,Midfielder,https://resources.premierleague.com/premierleague/photos/players/110x140/p614574.png,Premier League
Bournemouth,489888,Amine Adli,Midfielder,https://resources.premierleague.com/premierleague/photos/players/110x140/p489888.png,Premier League
Bournemouth,496208,Ben Gannon-Doak,Midfielder,https://resources.premierleague.com/premierleague/photos/players/110x140/p496208.png,Premier League
Bournemouth,111317,David Brooks,Midfielder,https://resources.premierleague.com/premierleague/photos/players/110x140/p111317.png,Premier League
Bournemouth,560262,Junior Kroupi,Midfielder,https://resources.premierleague.com/premierleague/photos/players/110x140/p560262.png,Premier League
Bournemouth,222683,Justin Kluivert,Midfielder,https://resources.premierleague.com/premierleague/photos/players/110x140/p222683.png,Premier League
Bournemouth,155408,Lewis Cook,Midfielder,https://resources.premierleague.com/premierleague/photos/players/110x140/p155408.png,Premier League
Bournemouth,201658,Marcus Tavernier,Midfielder,https://resources.premierleague.com/premierleague/photos/players/110x140/p201658.png,Premier League
Bournemouth,499604,Rayan Vitor Simplício Rocha,Midfielder,https://resources.premierleague.com/premierleague/photos/players/110x140/p499604.png,Premier League
Bournemouth,158499,Ryan Christie,Midfielder,https://resources.premierleague.com/premierleague/photos/players/110x140/p158499.png,Premier League
Bournemouth,200785,Tyler Adams,Midfielder,https://resources.premierleague.com/premierleague/photos/players/110x140/p200785.png,Premier League
Brentford,472713,Aaron Hickey,Defender,https://resources.premierleague.com/premierleague/photos/players/110x140/p472713.png,Premier League
Brentford,231065,Ethan Pinnock,Defender,https://resources.premierleague.com/premierleague/photos/players/110x140/p231065.png,Premier League
Brentford,513086,Jannik Schuster,Defender,https://resources.premierleague.com/premierleague/photos/players/110x140/p513086.png,Premier League
Brentford,570241,Kim Ji-soo,Defender,https://resources.premierleague.com/premierleague/photos/players/110x140/p570241.png,Premier League
Brentford,191866,Kristoffer Ajer,Defender,https://resources.premierleague.com/premierleague/photos/players/110x140/p191866.png,Premier League
Brentford,607464,Michael Kayode,Defender,https://resources.premierleague.com/premierleague/photos/players/110x140/p607464.png,Premier League
Brentford,432830,Nathan Collins,Defender,https://resources.premierleague.com/premierleague/photos/players/110x140/p432830.png,Premier League
Brentford,194010,Rico Henry,Defender,https://resources.premierleague.com/premierleague/photos/players/110x140/p194010.png,Premier League
Brentford,444765,Sepp van den Berg,Defender,https://resources.premierleague.com/premierleague/photos/players/110x140/p444765.png,Premier League
Brentford,75115,Callum Wilson,Forward,https://resources.premierleague.com/premierleague/photos/players/110x140/p75115.png,Premier League
Brentford,502500,Igor Thiago Nascimento Rodrigues,Forward,https://resources.premierleague.com/premierleague/photos/players/110x140/p502500.png,Premier League
Brentford,593174,Kaye Furo,Forward,https://resources.premierleague.com/premierleague/photos/players/110x140/p593174.png,Premier League
Brentford,200720,Caoimhín Kelleher,Goalkeeper,https://resources.premierleague.com/premierleague/photos/players/110x140/p200720.png,Premier League
Brentford,507433,Hákon Rafn Valdimarsson,Goalkeeper,https://resources.premierleague.com/premierleague/photos/players/110x140/p507433.png,Premier League
Brentford,543295,Antoni Milambo,Midfielder,https://resources.premierleague.com/premierleague/photos/players/110x140/p543295.png,Premier League
Brentford,533463,Dango Ouattara,Midfielder,https://resources.premierleague.com/premierleague/photos/players/110x140/p533463.png,Premier League
Brentford,244858,Fábio Freitas Gouveia Carvalho,Midfielder,https://resources.premierleague.com/premierleague/photos/players/110x140/p244858.png,Premier League
Brentford,444180,Jaidon Anthony,Midfielder,https://resources.premierleague.com/premierleague/photos/players/110x140/p444180.png,Premier League
Brentford,56979,Jordan Henderson,Midfielder,https://resources.premierleague.com/premierleague/photos/players/110x140/p56979.png,Premier League
Brentford,183656,Josh Dasilva,Midfielder,https://resources.premierleague.com/premierleague/photos/players/110x140/p183656.png,Premier League
Brentford,249231,Keane Lewis-Potter,Midfielder,https://resources.premierleague.com/premierleague/photos/players/110x140/p249231.png,Premier League
Brentford,513418,Kevin Schade,Midfielder,https://resources.premierleague.com/premierleague/photos/players/110x140/p513418.png,Premier League
Brentford,207283,Mathias Jensen,Midfielder,https://resources.premierleague.com/premierleague/photos/players/110x140/p207283.png,Premier League
Brentford,440089,Mikkel Damsgaard,Midfielder,https://resources.premierleague.com/premierleague/photos/players/110x140/p440089.png,Premier League
Brentford,204580,Vitaly Janelt,Midfielder,https://resources.premierleague.com/premierleague/photos/players/110x140/p204580.png,Premier League
Brentford,508395,Yehor Yarmoliuk,Midfielder,https://resources.premierleague.com/premierleague/photos/players/110x140/p508395.png,Premier League
Brighton,550090,Diego Coppola,Defender,https://resources.premierleague.com/premierleague/photos/players/110x140/p550090.png,Premier League
Brighton,231416,Ferdi Kadıoğlu,Defender,https://resources.premierleague.com/premierleague/photos/players/110x140/p231416.png,Premier League
Brighton,223434,Igor Julio dos Santos de Paulo,Defender,https://resources.premierleague.com/premierleague/photos/players/110x140/p223434.png,Premier League
Brighton,451490,João Pedro Loureiro da Costa,Defender,https://resources.premierleague.com/premierleague/photos/players/110x140/p451490.png,Premier League
Brighton,83299,Lewis Dunk,Defender,https://resources.premierleague.com/premierleague/photos/players/110x140/p83299.png,Premier League
Brighton,610799,Luka Vušković,Defender,https://resources.premierleague.com/premierleague/photos/players/110x140/p610799.png,Premier League
Brighton,467779,Mats Wieffer,Defender,https://resources.premierleague.com/premierleague/photos/players/110x140/p467779.png,Premier League
Brighton,465730,Maxim De Cuyper,Defender,https://resources.premierleague.com/premierleague/photos/players/110x140/p465730.png,Premier League
Brighton,454490,Michael Svoboda,Defender,https://resources.premierleague.com/premierleague/photos/players/110x140/p454490.png,Premier League
Brighton,204120,Olivier Boscagli,Defender,https://resources.premierleague.com/premierleague/photos/players/110x140/p204120.png,Premier League
Brighton,222694,Pascal Struijk,Defender,https://resources.premierleague.com/premierleague/photos/players/110x140/p222694.png,Premier League
Brighton,647850,Charalampos Kostoulas,Forward,https://resources.premierleague.com/premierleague/photos/players/110x140/p647850.png,Premier League
Brighton,50175,Danny Welbeck,Forward,https://resources.premierleague.com/premierleague/photos/players/110x140/p50175.png,Premier League
Brighton,487117,Evan Ferguson,Forward,https://resources.premierleague.com/premierleague/photos/players/110x140/p487117.png,Premier League
Brighton,463067,Georginio Rutter,Forward,https://resources.premierleague.com/premierleague/photos/players/110x140/p463067.png,Premier League
Brighton,608181,Stefanos Tzimas,Forward,https://resources.premierleague.com/premierleague/photos/players/110x140/p608181.png,Premier League
Brighton,489639,Bart Verbruggen,Goalkeeper,https://resources.premierleague.com/premierleague/photos/players/110x140/p489639.png,Premier League
Brighton,472739,Carl Rushworth,Goalkeeper,https://resources.premierleague.com/premierleague/photos/players/110x140/p472739.png,Premier League
Brighton,49262,Jason Steele,Goalkeeper,https://resources.premierleague.com/premierleague/photos/players/110x140/p49262.png,Premier League
Brighton,535301,Carlos Baleba,Midfielder,https://resources.premierleague.com/premierleague/photos/players/110x140/p535301.png,Premier League
Brighton,514254,Diego Gómez Amarilla,Midfielder,https://resources.premierleague.com/premierleague/photos/players/110x140/p514254.png,Premier League
Brighton,536916,Facundo Buonanotte,Midfielder,https://resources.premierleague.com/premierleague/photos/players/110x140/p536916.png,Premier League
Brighton,597320,Harry Howell,Midfielder,https://resources.premierleague.com/premierleague/photos/players/110x140/p597320.png,Premier League
Brighton,532529,Jack Hinshelwood,Midfielder,https://resources.premierleague.com/premierleague/photos/players/110x140/p532529.png,Premier League
Brighton,219249,Matt O'Riley,Midfielder,https://resources.premierleague.com/premierleague/photos/players/110x140/p219249.png,Premier League
Brighton,451340,Mitoma Kaoru,Midfielder,https://resources.premierleague.com/premierleague/photos/players/110x140/p451340.png,Premier League
Brighton,556637,Nehemiah Oriola,Midfielder,https://resources.premierleague.com/premierleague/photos/players/110x140/p556637.png,Premier League
Brighton,60307,Pascal Groß,Midfielder,https://resources.premierleague.com/premierleague/photos/players/110x140/p60307.png,Premier League
Brighton,549074,Tom Watson,Midfielder,https://resources.premierleague.com/premierleague/photos/players/110x140/p549074.png,Premier League
Brighton,592031,Yankuba Minteh,Midfielder,https://resources.premierleague.com/premierleague/photos/players/110x140/p592031.png,Premier League
Brighton,509416,Yasin Ayari,Midfielder,https://resources.premierleague.com/premierleague/photos/players/110x140/p509416.png,Premier League
Brighton,700308,Zadok Yohanna,Midfielder,https://resources.premierleague.com/premierleague/photos/players/110x140/p700308.png,Premier League
Chelsea,622758,Aaron Anselmino,Defender,https://resources.premierleague.com/premierleague/photos/players/110x140/p622758.png,Premier League
Chelsea,220362,Axel Disasi,Defender,https://resources.premierleague.com/premierleague/photos/players/110x140/p220362.png,Premier League
Chelsea,242880,Benoît Badiashile Mukinayi,Defender,https://resources.premierleague.com/premierleague/photos/players/110x140/p242880.png,Premier League
Chelsea,551210,Jorrel Hato,Defender,https://resources.premierleague.com/premierleague/photos/players/110x140/p551210.png,Premier League
Chelsea,577016,Josh Acheampong,Defender,https://resources.premierleague.com/premierleague/photos/players/110x140/p577016.png,Premier League
Chelsea,460028,Levi Samuels Colwill,Defender,https://resources.premierleague.com/premierleague/photos/players/110x140/p460028.png,Premier League
Chelsea,482609,Malo Gusto,Defender,https://resources.premierleague.com/premierleague/photos/players/110x140/p482609.png,Premier League
Chelsea,574458,Mamadou Sarr,Defender,https://resources.premierleague.com/premierleague/photos/players/110x140/p574458.png,Premier League
Chelsea,620109,Marco Palestra,Defender,https://resources.premierleague.com/premierleague/photos/players/110x140/p620109.png,Premier League
Chelsea,225796,Reece James,Defender,https://resources.premierleague.com/premierleague/photos/players/110x140/p225796.png,Premier League
Chelsea,109646,Tosin Adarabioyo,Defender,https://resources.premierleague.com/premierleague/photos/players/110x140/p109646.png,Premier League
Chelsea,180736,Trevoh Chalobah,Defender,https://resources.premierleague.com/premierleague/photos/players/110x140/p180736.png,Premier League
Chelsea,444463,Wesley Fofana,Defender,https://resources.premierleague.com/premierleague/photos/players/110x140/p444463.png,Premier League
Chelsea,503037,Emmanuel Emegha,Forward,https://resources.premierleague.com/premierleague/photos/players/110x140/p503037.png,Premier League
Chelsea,475168,João Pedro Junqueira de Jesus,Forward,https://resources.premierleague.com/premierleague/photos/players/110x140/p475168.png,Premier League
Chelsea,463034,Liam Delap,Forward,https://resources.premierleague.com/premierleague/photos/players/110x140/p463034.png,Premier League
Chelsea,499309,Marc Guiu Paz,Forward,https://resources.premierleague.com/premierleague/photos/players/110x140/p499309.png,Premier League
Chelsea,517052,Nicolas Jackson,Forward,https://resources.premierleague.com/premierleague/photos/players/110x140/p517052.png,Premier League
Chelsea,567119,Shumaira Mheuka,Forward,https://resources.premierleague.com/premierleague/photos/players/110x140/p567119.png,Premier League
Chelsea,508479,Filip Jörgensen,Goalkeeper,https://resources.premierleague.com/premierleague/photos/players/110x140/p508479.png,Premier League
Chelsea,549939,Mike Penders,Goalkeeper,https://resources.premierleague.com/premierleague/photos/players/110x140/p549939.png,Premier League
Chelsea,215059,Robert Lynch Sánchez,Goalkeeper,https://resources.premierleague.com/premierleague/photos/players/110x140/p215059.png,Premier League
Chelsea,244851,Cole Palmer,Midfielder,https://resources.premierleague.com/premierleague/photos/players/110x140/p244851.png,Premier League
Chelsea,491007,Dário Luís Essugo,Midfielder,https://resources.premierleague.com/premierleague/photos/players/110x140/p491007.png,Premier League
Chelsea,448047,Enzo Fernández,Midfielder,https://resources.premierleague.com/premierleague/photos/players/110x140/p448047.png,Premier League
Chelsea,624773,Estêvão Almeida de Oliveira Gonçalves,Midfielder,https://resources.premierleague.com/premierleague/photos/players/110x140/p624773.png,Premier League
Chelsea,593117,Geovany Quenda,Midfielder,https://resources.premierleague.com/premierleague/photos/players/110x140/p593117.png,Premier League
Chelsea,463936,Jamie Bynoe-Gittens,Midfielder,https://resources.premierleague.com/premierleague/photos/players/110x140/p463936.png,Premier League
Chelsea,486672,Moisés Caicedo Corozo,Midfielder,https://resources.premierleague.com/premierleague/photos/players/110x140/p486672.png,Premier League
Chelsea,244850,Morgan Rogers,Midfielder,https://resources.premierleague.com/premierleague/photos/players/110x140/p244850.png,Premier League
Chelsea,247632,Pedro Lomba Neto,Midfielder,https://resources.premierleague.com/premierleague/photos/players/110x140/p247632.png,Premier League
Chelsea,514356,Roméo Lavia,Midfielder,https://resources.premierleague.com/premierleague/photos/players/110x140/p514356.png,Premier League
Coventry,539142,Aurèle Amenda,Defender,https://resources.premierleague.com/premierleague/photos/players/110x140/p539142.png,Premier League
Coventry,461102,Bobby Thomas,Defender,https://resources.premierleague.com/premierleague/photos/players/110x140/p461102.png,Premier League
Coventry,80178,Jake Bidwell,Defender,https://resources.premierleague.com/premierleague/photos/players/110x140/p80178.png,Premier League
Coventry,173878,Jay Dasilva,Defender,https://resources.premierleague.com/premierleague/photos/players/110x140/p173878.png,Premier League
Coventry,204813,Joel Latibeaudiere,Defender,https://resources.premierleague.com/premierleague/photos/players/110x140/p204813.png,Premier League
Coventry,465390,Kaine Kesler-Hayden,Defender,https://resources.premierleague.com/premierleague/photos/players/110x140/p465390.png,Premier League
Coventry,436761,Liam Kitching,Defender,https://resources.premierleague.com/premierleague/photos/players/110x140/p436761.png,Premier League
Coventry,220583,Luke Woolfenden,Defender,https://resources.premierleague.com/premierleague/photos/players/110x140/p220583.png,Premier League
Coventry,577411,Miguel Brau,Defender,https://resources.premierleague.com/premierleague/photos/players/110x140/p577411.png,Premier League
Coventry,451284,Milan van Ewijk,Defender,https://resources.premierleague.com/premierleague/photos/players/110x140/p451284.png,Premier League
Coventry,230730,Brandon Thomas-Asante,Forward,https://resources.premierleague.com/premierleague/photos/players/110x140/p230730.png,Premier League
Coventry,218997,Ellis Simms,Forward,https://resources.premierleague.com/premierleague/photos/players/110x140/p218997.png,Premier League
Coventry,176412,Haji Wright,Forward,https://resources.premierleague.com/premierleague/photos/players/110x140/p176412.png,Premier League
Coventry,551262,Jahnoah Markelo,Forward,https://resources.premierleague.com/premierleague/photos/players/110x140/p551262.png,Premier League
Coventry,549653,Norman Bassette,Forward,https://resources.premierleague.com/premierleague/photos/players/110x140/p549653.png,Premier League
