team,player_code,player_name,position,photo_url,roster_source,portrait_source
1. FC Union Berlin,406371,Andrik Markgraf,Defender,,2026/27 roster feed,Unavailable
1. FC Union Berlin,146485,Christopher Trimmel,Defender,https://r2.thesportsdb.com/images/media/player/thumb/j2ge5m1622121179.jpg,2026/27 roster feed,TheSportsDB
1. FC Union Berlin,233622,Danilho Doekhi,Defender,https://r2.thesportsdb.com/images/media/player/thumb/ek3otf1548163138.jpg,2025/26 squad carryover,TheSportsDB
1. FC Union Berlin,263202,Derrick Köhn,Defender,https://r2.thesportsdb.com/images/media/player/thumb/y7wa661717600730.jpg,2026/27 roster feed,TheSportsDB
1. FC Union Berlin,258910,Diogo Leite,Defender,https://r2.thesportsdb.com/images/media/player/thumb/p5c6gr1533291825.jpg,2025/26 squad carryover,TheSportsDB
1. FC Union Berlin,222567,Josip Juranovic,Defender,,2026/27 roster feed,Unavailable
1. FC Union Berlin,330455,Leopold Querfeld,Defender,,2026/27 roster feed,Unavailable
1. FC Union Berlin,202642,Marvin Friedrich,Defender,,2026/27 roster feed,Unavailable
1. FC Union Berlin,377552,Oluwaseun Ogbemudia,Defender,,2026/27 roster feed,Unavailable
1. FC Union Berlin,268808,Stanley N'Soki,Defender,,2026/27 roster feed,Unavailable
1. FC Union Berlin,324269,Tom Rothe,Defender,,2026/27 roster feed,Unavailable
1. FC Union Berlin,314184,Zeno Van Den Bosch,Defender,,2026/27 roster feed,Unavailable
1. FC Union Berlin,341441,Andrej Ilic,Forward,https://r2.thesportsdb.com/images/media/player/thumb/73q3561741614375.jpg,2026/27 roster feed,TheSportsDB
1. FC Union Berlin,386438,David Preu,Forward,https://r2.thesportsdb.com/images/media/player/thumb/v0s2nd1763639495.jpg,2025/26 squad carryover,TheSportsDB
1. FC Union Berlin,386460,Dmytro Bohdanov,Forward,,2026/27 roster feed,Unavailable
1. FC Union Berlin,366363,Ilyas Ansah,Forward,,2026/27 roster feed,Unavailable
1. FC Union Berlin,366823,Livan Burcu,Forward,,2026/27 roster feed,Unavailable
1. FC Union Berlin,322098,Marin Ljubicic,Forward,,2026/27 roster feed,Unavailable
1. FC Union Berlin,3113344,Mekhi Anthony Gray,Forward,,2026/27 roster feed,Unavailable
1. FC Union Berlin,212478,Oliver Burke,Forward,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0f/Oliver_Burke.jpg/250px-Oliver_Burke.jpg,2026/27 roster feed,Wikimedia Commons
1. FC Union Berlin,221460,Carl Klaus,Goalkeeper,https://r2.thesportsdb.com/images/media/player/thumb/r0o64p1741613894.jpg,2026/27 roster feed,TheSportsDB
1. FC Union Berlin,165424,Frederik Ronnow,Goalkeeper,,2026/27 roster feed,Unavailable
1. FC Union Berlin,238706,Matheo Raab,Goalkeeper,,2026/27 roster feed,Unavailable
1. FC Union Berlin,257085,Alex Král,Midfielder,https://r2.thesportsdb.com/images/media/player/thumb/0h29ky1622162530.jpg,2025/26 squad carryover,TheSportsDB
1. FC Union Berlin,349922,Aljoscha Kemlein,Midfielder,https://r2.thesportsdb.com/images/media/player/thumb/p6nb6g1741614731.jpg,2026/27 roster feed,TheSportsDB
1. FC Union Berlin,284702,András Schäfer,Midfielder,https://r2.thesportsdb.com/images/media/player/thumb/c91yzo1623921928.jpg,2026/27 roster feed,TheSportsDB
1. FC Union Berlin,170604,Janik Haberer,Midfielder,,2026/27 roster feed,Unavailable
1. FC Union Berlin,276323,Jeong Woo-Yeong,Midfielder,,2026/27 roster feed,Unavailable
1. FC Union Berlin,3101887,Julien Piet Friedrich,Midfielder,,2026/27 roster feed,Unavailable
1. FC Union Berlin,421735,Linus Güther,Midfielder,,2026/27 roster feed,Unavailable
1. FC Union Berlin,159152,Rani Khedira,Midfielder,,2026/27 roster feed,Unavailable
1. FC Union Berlin,218596,Robert Skov,Midfielder,,2026/27 roster feed,Unavailable
1. FC Union Berlin,3113345,Tim Blaszczak,Midfielder,,2026/27 roster feed,Unavailable
1. FC Union Berlin,220796,Tim Skarke,Midfielder,,2026/27 roster feed,Unavailable
Bayer Leverkusen,21990,Abdoulaye Faye,Defender,,2026/27 roster feed,Unavailable
Bayer Leverkusen,166396,Alejandro Grimaldo,Defender,,2025/26 squad carryover,Unavailable
Bayer Leverkusen,334374,Arthur,Defender,https://r2.thesportsdb.com/images/media/player/thumb/u4zhyl1741447963.jpg,2026/27 roster feed,TheSportsDB
Bayer Leverkusen,396655,Axel Tape,Defender,https://r2.thesportsdb.com/images/media/player/thumb/xwrzja1748682372.jpg,2026/27 roster feed,TheSportsDB
Bayer Leverkusen,397120,Ben Hawighorst,Defender,,2025/26 squad carryover,Unavailable
Bayer Leverkusen,257287,Edmond Tapsoba,Defender,https://r2.thesportsdb.com/images/media/player/thumb/wrgvu81585495401.jpg,2026/27 roster feed,TheSportsDB
Bayer Leverkusen,408701,Ferdinand Pohl,Defender,,2025/26 squad carryover,Unavailable
Bayer Leverkusen,99684,Issa Traoré,Defender,,2025/26 squad carryover,Unavailable
Bayer Leverkusen,298524,Jarell Quansah,Defender,,2026/27 roster feed,Unavailable
Bayer Leverkusen,333927,Jeanuël Belocian,Defender,,2026/27 roster feed,Unavailable
Bayer Leverkusen,300410,Loïc Badé,Defender,,2026/27 roster feed,Unavailable
