team,player_code,player_name,position,photo_url,roster_source,portrait_source
Alavés,376070,Carlos Ballestero,Defender,,2025/26 squad carryover,Unavailable
Alavés,378408,Egoitz Muñoz,Defender,,2025/26 squad carryover,Unavailable
Alavés,255931,Facundo Garcés,Defender,,2025/26 squad carryover,Unavailable
Alavés,176312,Jonny,Defender,,2025/26 squad carryover,Unavailable
Alavés,262491,Nahuel Tenaglia,Defender,,2025/26 squad carryover,Unavailable
Alavés,373789,Paco Sanz,Defender,,2025/26 squad carryover,Unavailable
Alavés,354373,Victor Parada,Defender,,2025/26 squad carryover,Unavailable
Alavés,149306,Ville Koski,Defender,,2025/26 squad carryover,Unavailable
Alavés,415276,Xanet Oláiz,Defender,,2025/26 squad carryover,Unavailable
Alavés,382532,Youssef Lekhedim,Defender,,2025/26 squad carryover,Unavailable
Alavés,384145,Álvaro García,Defender,,2025/26 squad carryover,Unavailable
Alavés,374621,Ángel Pérez,Defender,,2025/26 squad carryover,Unavailable
Alavés,345991,Abde Rebbach,Forward,https://commons.wikimedia.org/wiki/Special:FilePath/Abde%20rebbach%202023.jpg,2025/26 squad carryover,Wikimedia Commons
Alavés,379231,Aitor Mañas,Forward,,2025/26 squad carryover,Unavailable
Alavés,354409,Diego Morcillo,Forward,,2025/26 squad carryover,Unavailable
Alavés,308726,Ibrahim Diabate,Forward,,2025/26 squad carryover,Unavailable
Alavés,415206,Izei Hernandez,Forward,,2026/27 roster feed,Unavailable
Alavés,207236,Lucas Boyé,Forward,,2025/26 squad carryover,Unavailable
Alavés,198832,Mariano,Forward,,2025/26 squad carryover,Unavailable
Alavés,181757,Toni Martínez,Forward,,2025/26 squad carryover,Unavailable
Alavés,200910,Antonio Sivera,Goalkeeper,,2025/26 squad carryover,Unavailable
Alavés,346534,Grégoire Swiderski,Goalkeeper,,2025/26 squad carryover,Unavailable
Alavés,113097,Raúl Fernández,Goalkeeper,,2025/26 squad carryover,Unavailable
Alavés,373796,Rúben Montero,Goalkeeper,,2025/26 squad carryover,Unavailable
Alavés,260256,Ander Guevara,Midfielder,,2025/26 squad carryover,Unavailable
Alavés,265997,Antonio Blanco,Midfielder,,2025/26 squad carryover,Unavailable
Alavés,304469,Calebe,Midfielder,,2025/26 squad carryover,Unavailable
Alavés,233802,Carles Aleñá,Midfielder,,2025/26 squad carryover,Unavailable
Alavés,253754,Carlos Protesoni,Midfielder,,2025/26 squad carryover,Unavailable
Alavés,163068,Denis Suárez,Midfielder,,2025/26 squad carryover,Unavailable
Alavés,403705,Lander Pinillos,Midfielder,,2025/26 squad carryover,Unavailable
Alavés,106326,Pablo Ibáñez,Midfielder,,2025/26 squad carryover,Unavailable
Athletic Club,379707,Adama Boiro,Defender,,2026/27 roster feed,Unavailable
Athletic Club,388802,Aimar Duñabeitia,Defender,,2026/27 roster feed,Unavailable
Athletic Club,308254,Aitor Paredes,Defender,https://upload.wikimedia.org/wikipedia/commons/thumb/4/48/AitorParedes2022.jpg/250px-AitorParedes2022.jpg,2026/27 roster feed,Wikimedia Commons
Athletic Club,401735,Ander Izagirre,Defender,,2026/27 roster feed,Unavailable
Athletic Club,245839,Andoni Gorosabel,Defender,https://upload.wikimedia.org/wikipedia/commons/a/a3/DSC_2424_%2851299094836%29_%28gorosabel%29.jpg,2026/27 roster feed,Wikimedia Commons
Athletic Club,159317,Aymeric Laporte,Defender,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d5/Aymeric_Laporte_Argentina_v_Spain_19_July_2026-067_%28cropped%29.jpg/250px-Aymeric_Laporte_Argentina_v_Spain_19_July_2026-067_%28cropped%29.jpg,2026/27 roster feed,Wikimedia Commons
Athletic Club,274016,Dani Vivian,Defender,,2026/27 roster feed,Unavailable
Athletic Club,362572,Hugo Rincón,Defender,,2026/27 roster feed,Unavailable
Athletic Club,411235,Iker Monreal,Defender,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4c/Iker_monreal.jpg/250px-Iker_monreal.jpg,2026/27 roster feed,Wikimedia Commons
Athletic Club,222369,Iñigo Lekue,Defender,,2025/26 squad carryover,Unavailable
Athletic Club,300876,Jesús Areso,Defender,,2026/27 roster feed,Unavailable
Athletic Club,408483,Jon De Luis,Defender,,2026/27 roster feed,Unavailable
Athletic Club,368331,Unai Egiluz,Defender,https://upload.wikimedia.org/wikipedia/commons/thumb/3/38/Unai_Egiluz._Athletic_-_Racing._Foto_Maider_Goikoetxea_%2853910540096%29_%28cropped%29.jpg/250px-Unai_Egiluz._Athletic_-_Racing._Foto_Maider_Goikoetxea_%2853910540096%29_%28cropped%29.jpg,2026/27 roster feed,Wikimedia Commons
Athletic Club,217225,Yeray,Defender,,2026/27 roster feed,Unavailable
Athletic Club,133768,Yuri Berchiche,Defender,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8f/Krasnodar-Real_Sosiedad_%2810%29.jpg/250px-Krasnodar-Real_Sosiedad_%2810%29.jpg,2026/27 roster feed,Wikimedia Commons
Athletic Club,411759,Adrián Pérez,Forward,,2026/27 roster feed,Unavailable
Athletic Club,414464,Asier Hierro,Forward,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e3/Asier_Hierro.jpg/250px-Asier_Hierro.jpg,2026/27 roster feed,Wikimedia Commons
