team,player_code,player_name,position,photo_url,roster_source,portrait_source
AJ Auxerre,3102990,Ackah-Tidiane Thiongane-Zoukrou,Defender,,2026/27 roster feed,Unavailable
AJ Auxerre,410797,Alvin Petit Dol,Defender,,2025/26 squad carryover,Unavailable
AJ Auxerre,321097,Bryan Okoh,Defender,,2026/27 roster feed,Unavailable
AJ Auxerre,362476,Christ Makosso,Defender,,2026/27 roster feed,Unavailable
AJ Auxerre,344520,Clément Akpa,Defender,,2026/27 roster feed,Unavailable
AJ Auxerre,404532,Elikya Legros,Defender,,2026/27 roster feed,Unavailable
AJ Auxerre,415055,Evan Diamalunda,Defender,,2025/26 squad carryover,Unavailable
AJ Auxerre,218620,Francisco Sierralta,Defender,,2026/27 roster feed,Unavailable
AJ Auxerre,310134,Fredrik Oppegard,Defender,,2026/27 roster feed,Unavailable
AJ Auxerre,264484,Gideon Mensah,Defender,,2025/26 squad carryover,Unavailable
AJ Auxerre,335320,Lamine Sy,Defender,,2026/27 roster feed,Unavailable
AJ Auxerre,309638,Marvin Senaya,Defender,,2026/27 roster feed,Unavailable
AJ Auxerre,252136,Sekou Fofana,Defender,,2026/27 roster feed,Unavailable
AJ Auxerre,302862,Sinaly Diomande,Defender,,2026/27 roster feed,Unavailable
AJ Auxerre,403125,Telli Siwe,Defender,,2026/27 roster feed,Unavailable
AJ Auxerre,400649,Wei Xiangxin,Defender,,2026/27 roster feed,Unavailable
AJ Auxerre,243748,Danny Namaso,Forward,,2026/27 roster feed,Unavailable
AJ Auxerre,280466,Eros Maddy,Forward,,2026/27 roster feed,Unavailable
AJ Auxerre,304212,Josué Casimir,Forward,,2026/27 roster feed,Unavailable
AJ Auxerre,415461,Mamoudou Cissokho,Forward,,2025/26 squad carryover,Unavailable
AJ Auxerre,409263,Ryan Rodin,Forward,,2026/27 roster feed,Unavailable
AJ Auxerre,305797,Sékou Mara,Forward,,2025/26 squad carryover,Unavailable
AJ Auxerre,255625,Thelonius Bair,Forward,,2026/27 roster feed,Unavailable
AJ Auxerre,414184,Yvan Zaddy,Forward,,2025/26 squad carryover,Unavailable
AJ Auxerre,164165,Donovan Léon,Goalkeeper,,2025/26 squad carryover,Unavailable
AJ Auxerre,409261,Louis Mezerette,Goalkeeper,,2026/27 roster feed,Unavailable
