season,player_code,player_name,goals,assists,minutes,starts,xg,xa
2016-17,48844,David Ospina,0,0,143,0.0,0.0,0.0
2016-17,11334,Petr Cech,0,0,3097,0.0,0.0,0.0
2016-17,51507,Laurent Koscielny,2,1,2821,0.0,0.0,0.0
2016-17,17127,Per Mertesacker,0,0,38,0.0,0.0,0.0
2016-17,158074,Gabriel Armando de Abreu,0,0,1517,0.0,0.0,0.0
2016-17,98745,Héctor Bellerín,1,5,2503,0.0,0.0,0.0
2016-17,42427,Kieran Gibbs,0,1,702,0.0,0.0,0.0
2016-17,27334,Mathieu Debuchy,0,0,15,0.0,0.0,0.0
2016-17,80254,Carl Jenkinson,0,0,82,0.0,0.0,0.0
2016-17,38411,Nacho Monreal,0,3,3153,0.0,0.0,0.0
2016-17,101184,Calum Chambers,2,1,2250,0.0,0.0,0.0
2016-17,37265,Alexis Sánchez,24,11,3217,0.0,0.0,0.0
2016-17,20467,Theo Walcott,10,3,1916,0.0,0.0,0.0
2016-17,37605,Mesut Özil,8,11,2841,0.0,0.0,0.0
2016-17,19524,Santiago Cazorla,2,2,618,0.0,0.0,0.0
2016-17,41792,Aaron Ramsey,1,4,1236,0.0,0.0,0.0
2016-17,54102,Jack Wilshere,0,3,1950,0.0,0.0,0.0
2016-17,81880,Alex Oxlade-Chamberlain,2,7,1564,0.0,0.0,0.0
2016-17,133798,Serge Gnabry,0,0,0,0.0,0.0,0.0
2016-17,56864,Francis Coquelin,0,1,1779,0.0,0.0,0.0
2016-17,153133,Alex Iwobi,3,5,1456,0.0,0.0,0.0
2016-17,153256,Mohamed Elneny,0,1,694,0.0,0.0,0.0
2016-17,99127,Joel Campbell,0,0,0,0.0,0.0,0.0
2016-17,84450,Granit Xhaka,2,3,2483,0.0,0.0,0.0
2016-17,44346,Olivier Giroud,12,5,1206,0.0,0.0,0.0
2016-17,50175,Danny Welbeck,2,2,748,0.0,0.0,0.0
2016-17,80711,Yaya Sanogo,0,0,0,0.0,0.0,0.0
2016-17,154998,Takuma Asano,0,0,0,0.0,0.0,0.0
2016-17,18726,Artur Boruc,0,0,3150,0.0,0.0,0.0
