season,player_code,player_name,minutes,goals,assists,appearances,starts,xg,xa
2016-17,43337,Aaron Hunt,0,4.0,2.0,22.0,14.0,0.0,0.0
2016-17,238131,Aaron Seydel,0,1.0,0.0,6.0,1.0,0.0,0.0
2016-17,121255,Admir Mehmedi,0,3.0,0.0,22.0,16.0,0.0,0.0
2016-17,120652,Albin Ekdal,0,1.0,1.0,21.0,13.0,0.0,0.0
2016-17,142977,Aleksandar Dragovic,0,0.0,1.0,19.0,15.0,0.0,0.0
2016-17,136956,Aleksandar Ignjovski,0,0.0,0.0,19.0,12.0,0.0,0.0
2016-17,203868,Alessandro Schöpf,0,6.0,2.0,28.0,22.0,0.0,0.0
2016-17,86086,Alexander Baumjohann,0,0.0,0.0,0.0,0.0,0.0,0.0
2016-17,107466,Alexander Esswein,0,2.0,2.0,29.0,15.0,0.0,0.0
2016-17,227054,Alexander Hack,0,0.0,1.0,15.0,13.0,0.0,0.0
2016-17,235662,Alexander Isak,0,0.0,0.0,0.0,0.0,0.0,0.0
2016-17,84783,Alexander Meier,0,5.0,2.0,21.0,15.0,0.0,0.0
2016-17,158998,Alexander Milosevic,0,0.0,0.0,18.0,18.0,0.0,0.0
2016-17,205750,Alexander Nübel,0,0.0,0.0,0.0,0.0,0.0,0.0
2016-17,156416,Alexander Schwolow,0,0.0,0.0,34.0,34.0,0.0,0.0
2016-17,84751,Alexander Stolz,0,0.0,0.0,0.0,0.0,0.0,0.0
2016-17,146276,Alfred Finnbogason,0,3.0,1.0,13.0,13.0,0.0,0.0
2016-17,153289,Alfredo Morales,0,1.0,0.0,27.0,20.0,0.0,0.0
2016-17,223437,Allan,0,0.0,0.0,15.0,8.0,0.0,0.0
2016-17,148664,Almog Cohen,0,7.0,1.0,31.0,29.0,0.0,0.0
2016-17,222614,Amara Conde,0,0.0,0.0,0.0,0.0,0.0,0.0
2016-17,149845,Amir Abrashi,0,1.0,0.0,20.0,16.0,0.0,0.0
2016-17,220813,Amir Falahen,0,0.0,0.0,0.0,0.0,0.0,0.0
