season,player_code,player_name,minutes,goals,assists,appearances,starts,xg,xa
2016-17,200964,Aarón Escandell,0,0.0,0.0,0.0,0.0,0.0,0.0
2016-17,242007,Aarón Martín,0,0.0,0.0,30.0,28.0,0.0,0.0
2016-17,240233,Achraf Hakimi,0,0.0,0.0,0.0,0.0,0.0,0.0
2016-17,192090,Adalberto Peñaranda,0,0.0,0.0,3.0,1.0,0.0,0.0
2016-17,184036,Aderlan Santos,0,0.0,0.0,12.0,11.0,0.0,0.0
2016-17,98688,Adil Rami,0,0.0,0.0,21.0,21.0,0.0,0.0
2016-17,165665,Adrià Ortolá,0,0.0,0.0,2.0,2.0,0.0,0.0
2016-17,86821,Adrián,0,2.0,1.0,15.0,7.0,0.0,0.0
2016-17,93383,Adrián,0,7.0,1.0,28.0,19.0,0.0,0.0
2016-17,210228,Adrián Marín,0,0.0,0.0,13.0,11.0,0.0,0.0
2016-17,70667,Adrián Ramos,0,4.0,1.0,14.0,13.0,0.0,0.0
2016-17,229392,Aitor Cantalapiedra,0,0.0,0.0,1.0,0.0,0.0,0.0
2016-17,251452,Aitor Lorea,0,0.0,0.0,0.0,0.0,0.0,0.0
2016-17,219258,Akram Afif,0,0.0,0.0,9.0,2.0,0.0,0.0
2016-17,169805,Alberto,0,0.0,0.0,16.0,14.0,0.0,0.0
2016-17,104986,Alberto Bueno,0,2.0,3.0,24.0,8.0,0.0,0.0
2016-17,121636,Alberto Lora,0,0.0,0.0,7.0,4.0,0.0,0.0
2016-17,250677,Alberto Rodríguez,0,0.0,0.0,0.0,0.0,0.0,0.0
2016-17,143030,Aleix Vidal,0,2.0,2.0,6.0,5.0,0.0,0.0
2016-17,143641,Alejandro Arribas,0,0.0,0.0,23.0,20.0,0.0,0.0
2016-17,214332,Alejandro García Fernández,0,0.0,0.0,0.0,0.0,0.0,0.0
2016-17,169539,Alejandro Gálvez,0,0.0,0.0,19.0,14.0,0.0,0.0
2016-17,250756,Alejandro Mula,0,0.0,0.0,0.0,0.0,0.0,0.0
2016-17,22315,Alejandro Pozo,0,0.0,0.0,0.0,0.0,0.0,0.0
2016-17,174981,Aleksandar Katai,0,3.0,3.0,20.0,8.0,0.0,0.0
2016-17,179195,Alen Halilovic,0,0.0,2.0,18.0,6.0,0.0,0.0
2016-17,41848,Alessio Cerci,0,0.0,0.0,1.0,0.0,0.0,0.0
2016-17,250669,Alex Guanche,0,0.0,0.0,0.0,0.0,0.0,0.0
2016-17,175071,Alexander Szymanowski,0,8.0,2.0,28.0,24.0,0.0,0.0
2016-17,24903,Alexis,0,2.0,1.0,24.0,19.0,0.0,0.0
2016-17,153978,Alin Tosca,0,0.0,0.0,17.0,17.0,0.0,0.0
2016-17,228561,Aly Mallé,0,0.0,0.0,11.0,6.0,0.0,0.0
2016-17,150806,Anaitz Arbilla,0,0.0,2.0,22.0,17.0,0.0,0.0
2016-17,206475,Ander Bardaji,0,0.0,0.0,0.0,0.0,0.0,0.0
2016-17,180289,Ander Capa,0,0.0,3.0,31.0,29.0,0.0,0.0
2016-17,124635,Ander Iturraspe,0,0.0,1.0,24.0,12.0,0.0,0.0
2016-17,210143,Andreas Pereira,0,5.0,3.0,35.0,34.0,0.0,0.0
2016-17,135294,Andreu Fontàs,0,1.0,1.0,17.0,17.0,0.0,0.0
2016-17,213491,Andrew Hjulsager,0,1.0,0.0,7.0,3.0,0.0,0.0
2016-17,175108,André Gomes,0,3.0,1.0,30.0,17.0,0.0,0.0
2016-17,87043,André Moreira,0,0.0,0.0,0.0,0.0,0.0,0.0
2016-17,87897,Andrés Fernández,0,0.0,0.0,15.0,14.0,0.0,0.0
2016-17,17566,Andrés Iniesta,0,0.0,3.0,23.0,13.0,0.0,0.0
2016-17,176659,Andrés Prieto,0,0.0,0.0,0.0,0.0,0.0,0.0
2016-17,140416,Antoine Griezmann,0,16.0,8.0,36.0,36.0,0.0,0.0
2016-17,101871,Antonio Adán,0,0.0,0.0,37.0,37.0,0.0,0.0
2016-17,255386,Antonio Cristian,0,0.0,0.0,0.0,0.0,0.0,0.0
2016-17,147501,Antonio Luna,0,1.0,5.0,26.0,24.0,0.0,0.0
2016-17,252541,Antonio Moya,0,0.0,0.0,0.0,0.0,0.0,0.0
2016-17,113725,Antonio Rukavina,0,0.0,0.0,4.0,3.0,0.0,0.0
2016-17,192162,Antonio Sanabria,0,4.0,1.0,22.0,16.0,0.0,0.0
2016-17,86565,Arda Turan,0,3.0,3.0,18.0,14.0,0.0,0.0
2016-17,24285,Aritz Aduriz,0,16.0,1.0,32.0,27.0,0.0,0.0
2016-17,214742,Aritz Elustondo,0,0.0,0.0,9.0,4.0,0.0,0.0
2016-17,113123,Artem Kravets,0,5.0,2.0,26.0,16.0,0.0,0.0
2016-17,148614,Asier Illarramendi,0,1.0,2.0,34.0,33.0,0.0,0.0
2016-17,18998,Asier Riesgo,0,0.0,0.0,16.0,16.0,0.0,0.0
2016-17,75887,Augusto Fernández,0,0.0,0.0,3.0,2.0,0.0,0.0
2016-17,135390,Aymen Abdennour,0,0.0,0.0,13.0,9.0,0.0,0.0
2016-17,159317,Aymeric Laporte,0,2.0,0.0,33.0,33.0,0.0,0.0
2016-17,102982,Aythami Artiles,0,0.0,0.0,11.0,8.0,0.0,0.0
2016-17,150451,Aïssa Mandi,0,2.0,1.0,26.0,25.0,0.0,0.0
2016-17,35406,Bakary Koné,0,0.0,0.0,7.0,7.0,0.0,0.0
2016-17,149672,Bebé,0,3.0,2.0,20.0,8.0,0.0,0.0
