season,player_code,player_name,minutes,goals,assists,appearances,starts,xg,xa
2016-17,210822,Aaron Leya Iseka,0,0.0,2.0,8.0,3.0,0.0,0.0
2016-17,122031,Abdelhamid El Kaoutari,0,0.0,0.0,18.0,16.0,0.0,0.0
2016-17,125188,Abdou Diallo,0,0.0,0.0,5.0,4.0,0.0,0.0
2016-17,116373,Abdou Traoré,0,0.0,0.0,6.0,0.0,0.0,0.0
2016-17,127828,Abdoulaye Bamba,0,0.0,2.0,8.0,7.0,0.0,0.0
2016-17,108480,Abdoulaye Keita,0,0.0,0.0,21.0,14.0,0.0,0.0
2016-17,185685,Abdoulaye Touré,0,0.0,0.0,12.0,3.0,0.0,0.0
2016-17,43936,Abou Diaby,0,0.0,0.0,2.0,2.0,0.0,0.0
2016-17,227932,Adam Ounas,0,3.0,2.0,26.0,11.0,0.0,0.0
2016-17,241658,Adama Diakhaby,0,4.0,0.0,25.0,3.0,0.0,0.0
2016-17,181257,Adama Niané,0,0.0,0.0,1.0,1.0,0.0,0.0
2016-17,164180,Adama Soumaoro,0,0.0,0.0,27.0,26.0,0.0,0.0
2016-17,255803,Adrien Bongiovanni,0,0.0,0.0,0.0,0.0,0.0,0.0
2016-17,186278,Adrien Hunou,0,1.0,0.0,22.0,11.0,0.0,0.0
2016-17,176203,Adrien Rabiot,0,3.0,2.0,27.0,20.0,0.0,0.0
2016-17,173266,Adrien Thomasson,0,2.0,1.0,29.0,21.0,0.0,0.0
2016-17,206712,Afonso,0,0.0,0.0,5.0,2.0,0.0,0.0
2016-17,251550,Akim Abdallah,0,0.0,0.0,0.0,0.0,0.0,0.0
2016-17,86309,Alaeddine Yahia,0,1.0,0.0,31.0,30.0,0.0,0.0
2016-17,168318,Alassane Pléa,0,11.0,2.0,25.0,22.0,0.0,0.0
2016-17,231282,Alban Lafont,0,0.0,0.0,36.0,36.0,0.0,0.0
2016-17,178972,Albert Rafetraniaina,0,0.0,0.0,0.0,0.0,0.0,0.0
2016-17,222441,Aldo Kalulu,0,1.0,1.0,14.0,6.0,0.0,0.0
2016-17,108312,Alex Kacaniklic,0,0.0,2.0,17.0,7.0,0.0,0.0
2016-17,180573,Alexander Djiku,0,1.0,0.0,23.0,21.0,0.0,0.0
2016-17,173995,Alexander Söderlund,0,1.0,1.0,17.0,8.0,0.0,0.0
2016-17,131752,Alexandre Lacazette,0,28.0,3.0,30.0,28.0,0.0,0.0
2016-17,150279,Alexandre Letellier,0,0.0,0.0,6.0,6.0,0.0,0.0
2016-17,250567,Alexandre Llovet,0,0.0,1.0,2.0,0.0,0.0,0.0
2016-17,196001,Alexandre Menay,0,0.0,0.0,0.0,0.0,0.0,0.0
2016-17,110057,Alexandre Mendy,0,3.0,0.0,22.0,5.0,0.0,0.0
2016-17,227051,Alexandre Olliero,0,0.0,0.0,0.0,0.0,0.0,0.0
2016-17,228647,Alexis Alégué,0,0.0,0.0,2.0,0.0,0.0,0.0
2016-17,214681,Alexis Blin,0,0.0,0.0,26.0,26.0,0.0,0.0
2016-17,186407,Alexis Busin,0,1.0,0.0,6.0,2.0,0.0,0.0
2016-17,228503,Alexis Claude-Maurice,0,0.0,0.0,0.0,0.0,0.0,0.0
2016-17,239906,Alexis Larriere,0,0.0,0.0,0.0,0.0,0.0,0.0
2016-17,101384,Alexis Thébaux,0,0.0,0.0,1.0,1.0,0.0,0.0
2016-17,169744,Alexy Bosetti,0,0.0,0.0,0.0,0.0,0.0,0.0
2016-17,151005,Alhassan Wakaso,0,0.0,0.0,13.0,8.0,0.0,0.0
2016-17,193281,Allan Saint-Maximin,0,3.0,2.0,34.0,30.0,0.0,0.0
2016-17,206371,Almamy Touré,0,0.0,5.0,15.0,12.0,0.0,0.0
2016-17,218705,Alois Confais,0,0.0,0.0,1.0,1.0,0.0,0.0
2016-17,86228,Alou Diarra,0,2.0,0.0,18.0,16.0,0.0,0.0
2016-17,148987,Alphonse Areola,0,0.0,0.0,15.0,14.0,0.0,0.0
2016-17,215217,Alphousseyni Sane,0,0.0,0.0,0.0,0.0,0.0,0.0
2016-17,255910,Amine Bassi,0,0.0,0.0,1.0,1.0,0.0,0.0
2016-17,238917,Amine Harit,0,1.0,2.0,30.0,23.0,0.0,0.0
2016-17,216167,Anastasios Donis,0,5.0,1.0,18.0,3.0,0.0,0.0
2016-17,31462,Andrea Raggi,0,0.0,0.0,14.0,11.0,0.0,0.0
2016-17,138571,Andy Delort,0,5.0,0.0,15.0,15.0,0.0,0.0
2016-17,176231,Anthony Belmonte,0,0.0,1.0,8.0,4.0,0.0,0.0
2016-17,157964,Anthony Koura,0,1.0,0.0,15.0,8.0,0.0,0.0
2016-17,231284,Anthony Lamonge,0,0.0,0.0,0.0,0.0,0.0,0.0
2016-17,131743,Anthony Lopes,0,0.0,1.0,37.0,37.0,0.0,0.0
2016-17,223306,Anthony Maisonnial,0,0.0,0.0,2.0,1.0,0.0,0.0
2016-17,85947,Anthony Robic,0,0.0,0.0,24.0,13.0,0.0,0.0
2016-17,139346,Anthony Walongwa,0,0.0,0.0,3.0,3.0,0.0,0.0
2016-17,232335,Antoine Rabillard,0,0.0,0.0,2.0,0.0,0.0,0.0
