season,player_code,player_name,minutes,goals,assists,appearances,starts,xg,xa
2016-17,235736,Aaron Mattia Tabacchi,0,0.0,0.0,0.0,0.0,0.0,0.0
2016-17,41894,Abdoulay Konko,0,0.0,0.0,10.0,7.0,0.0,0.0
2016-17,253306,Abukar Mohamed,0,0.0,0.0,0.0,0.0,0.0,0.0
2016-17,195988,Adam Masina,0,1.0,0.0,32.0,28.0,0.0,0.0
2016-17,87623,Adel Taarabt,0,0.0,3.0,6.0,1.0,0.0,0.0
2016-17,123586,Adem Ljajic,0,10.0,8.0,33.0,30.0,0.0,0.0
2016-17,130492,Adrian Stoian,0,3.0,2.0,27.0,17.0,0.0,0.0
2016-17,144890,Afriyie Acquah,0,2.0,0.0,20.0,13.0,0.0,0.0
2016-17,185306,Agostino Camigliano,0,0.0,0.0,0.0,0.0,0.0,0.0
2016-17,171572,Ahmad Benali,0,6.0,2.0,33.0,31.0,0.0,0.0
2016-17,85318,Albano Bizzarri,0,0.0,0.0,29.0,29.0,0.0,0.0
2016-17,13752,Alberto Aquilani,0,1.0,1.0,25.0,20.0,0.0,0.0
2016-17,184881,Alberto Cerri,0,2.0,0.0,13.0,7.0,0.0,0.0
2016-17,25378,Alberto Gilardino,0,0.0,0.0,17.0,6.0,0.0,0.0
2016-17,209869,Alberto Grassi,0,1.0,0.0,18.0,4.0,0.0,0.0
2016-17,113899,Alberto Paloschi,0,0.0,0.0,13.0,4.0,0.0,0.0
2016-17,256766,Alberto Parpinel,0,0.0,0.0,0.0,0.0,0.0,0.0
2016-17,87178,Alberto Pelagotti,0,0.0,0.0,3.0,3.0,0.0,0.0
2016-17,235878,Alberto Picchi,0,0.0,0.0,0.0,0.0,0.0,0.0
2016-17,14364,Alberto Pomini,0,0.0,0.0,0.0,0.0,0.0,0.0
2016-17,253732,Alberto Reina,0,0.0,0.0,0.0,0.0,0.0,0.0
2016-17,57156,Aleandro Rosi,0,1.0,1.0,31.0,30.0,0.0,0.0
2016-17,149578,Alejandro Gómez,0,16.0,10.0,37.0,37.0,0.0,0.0
2016-17,176649,Aleksandar Pesic,0,0.0,0.0,6.0,0.0,0.0,0.0
2016-17,149910,Aleksandar Tonev,0,1.0,0.0,13.0,9.0,0.0,0.0
2016-17,164645,Aleksandar Trajkovski,0,1.0,0.0,11.0,5.0,0.0,0.0
2016-17,249280,Alessandro Bastoni,0,0.0,0.0,3.0,1.0,0.0,0.0
2016-17,251776,Alessandro Bianconi,0,0.0,0.0,0.0,0.0,0.0,0.0
2016-17,164097,Alessandro Bruno,0,0.0,0.0,15.0,10.0,0.0,0.0
2016-17,252605,Alessandro Buongiorno,0,0.0,0.0,0.0,0.0,0.0,0.0
2016-17,233560,Alessandro Confente,0,0.0,0.0,0.0,0.0,0.0,0.0
2016-17,132068,Alessandro Crescenzi,0,0.0,1.0,21.0,14.0,0.0,0.0
2016-17,186437,Alessandro Deiola,0,0.0,0.0,5.0,3.0,0.0,0.0
2016-17,104399,Alessandro Diamanti,0,1.0,5.0,31.0,18.0,0.0,0.0
2016-17,158145,Alessandro Florenzi,0,0.0,3.0,9.0,8.0,0.0,0.0
2016-17,11808,Alessandro Gamberini,0,1.0,0.0,20.0,20.0,0.0,0.0
2016-17,95570,Alessandro Gazzi,0,0.0,0.0,25.0,22.0,0.0,0.0
2016-17,250568,Alessandro Guarnone,0,0.0,0.0,0.0,0.0,0.0,0.0
2016-17,104319,Alessandro Matri,0,8.0,0.0,31.0,16.0,0.0,0.0
2016-17,212505,Alessandro Murgia,0,2.0,0.0,14.0,4.0,0.0,0.0
2016-17,245632,Alessandro Plizzari,0,0.0,0.0,0.0,0.0,0.0,0.0
2016-17,251551,Alessandro Quaini,0,0.0,0.0,0.0,0.0,0.0,0.0
2016-17,227302,Alessandro Rossi,0,0.0,0.0,3.0,0.0,0.0,0.0
2016-17,183436,Alessandro Semprini,0,0.0,0.0,0.0,0.0,0.0,0.0
2016-17,177816,Alessio Romagnoli,0,1.0,1.0,27.0,27.0,0.0,0.0
2016-17,252447,Alessio Zerbin,0,0.0,0.0,0.0,0.0,0.0,0.0
2016-17,253393,Alex Coppola,0,0.0,0.0,0.0,0.0,0.0,0.0
2016-17,38900,Alex Cordaz,0,0.0,0.0,36.0,36.0,0.0,0.0
2016-17,125514,Alex Sandro,0,3.0,4.0,27.0,25.0,0.0,0.0
2016-17,194410,Alexandru Mitrita,0,1.0,2.0,15.0,4.0,0.0,0.0
2016-17,173282,Alfred Duncan,0,1.0,1.0,21.0,14.0,0.0,0.0
2016-17,157826,Ali Adnan Kadhim,0,0.0,0.0,14.0,8.0,0.0,0.0
2016-17,196876,Alisson Becker,0,0.0,0.0,0.0,0.0,0.0,0.0
2016-17,143883,Allan,0,1.0,6.0,29.0,19.0,0.0,0.0
2016-17,224418,Amadou Diawara,0,0.0,0.0,18.0,10.0,0.0,0.0
2016-17,239549,Amuzie Stanley,0,0.0,0.0,0.0,0.0,0.0,0.0
2016-17,255918,Andre Isufaj,0,0.0,0.0,0.0,0.0,0.0,0.0
2016-17,158325,Andrea Barberis,0,0.0,3.0,26.0,23.0,0.0,0.0
2016-17,28426,Andrea Barzagli,0,0.0,0.0,23.0,17.0,0.0,0.0
2016-17,241431,Andrea Beghetto,0,0.0,0.0,3.0,1.0,0.0,0.0
2016-17,170755,Andrea Belotti,0,26.0,7.0,35.0,34.0,0.0,0.0
2016-17,132069,Andrea Bertolacci,0,1.0,0.0,15.0,9.0,0.0,0.0
2016-17,251954,Andrea Cadili,0,0.0,0.0,0.0,0.0,0.0,0.0
2016-17,41558,Andrea Coda,0,0.0,0.0,13.0,12.0,0.0,0.0
2016-17,65400,Andrea Consigli,0,0.0,0.0,37.0,37.0,0.0,0.0
2016-17,143530,Andrea Conti,0,8.0,5.0,33.0,31.0,0.0,0.0
2016-17,115336,Andrea Costa,0,2.0,1.0,26.0,25.0,0.0,0.0
2016-17,180863,Andrea Fulignati,0,0.0,0.0,9.0,9.0,0.0,0.0
2016-17,41781,Andrea Masiello,0,3.0,1.0,35.0,34.0,0.0,0.0
2016-17,250686,Andrea Mastino,0,0.0,0.0,0.0,0.0,0.0,0.0
2016-17,226997,Andrea Nalini,0,2.0,2.0,17.0,7.0,0.0,0.0
2016-17,181098,Andrea Petagna,0,5.0,7.0,34.0,31.0,0.0,0.0
2016-17,239086,Andrea Pinamonti,0,0.0,0.0,2.0,0.0,0.0,0.0
2016-17,104451,Andrea Poli,0,0.0,0.0,13.0,3.0,0.0,0.0
2016-17,241561,Andrea Punzi,0,0.0,0.0,0.0,0.0,0.0,0.0
2016-17,125005,Andrea Rispoli,0,6.0,3.0,32.0,30.0,0.0,0.0
2016-17,241251,Andrea Romagnoli,0,0.0,0.0,0.0,0.0,0.0,0.0
2016-17,123552,Andrea Seculin,0,0.0,0.0,4.0,4.0,0.0,0.0
2016-17,252942,Andrea Tessiore,0,0.0,0.0,0.0,0.0,0.0,0.0
2016-17,232259,Andreaw Gravillon,0,0.0,0.0,0.0,0.0,0.0,0.0
2016-17,144720,Andrei Radu,0,0.0,0.0,0.0,0.0,0.0,0.0
2016-17,237713,Andrej Kotnik,0,0.0,0.0,2.0,0.0,0.0,0.0
2016-17,208713,Andrija Balic,0,1.0,0.0,4.0,3.0,0.0,0.0
2016-17,202501,Andrés Cubas,0,0.0,0.0,1.0,0.0,0.0,0.0
2016-17,203321,Andrés Tello,0,0.0,0.0,18.0,8.0,0.0,0.0
2016-17,16338,Angelo Palombo,0,0.0,0.0,4.0,2.0,0.0,0.0
2016-17,125073,Angelo da Costa,0,0.0,0.0,18.0,17.0,0.0,0.0
2016-17,224420,Aniello Viscovo,0,0.0,0.0,0.0,0.0,0.0,0.0
2016-17,207288,Ante Budimir,0,0.0,0.0,11.0,2.0,0.0,0.0
2016-17,98413,Anthony Mounier,0,0.0,0.0,11.0,4.0,0.0,0.0
2016-17,131575,Antonino Ragusa,0,4.0,2.0,25.0,16.0,0.0,0.0
2016-17,201365,Antonio Barreca,0,0.0,2.0,28.0,25.0,0.0,0.0
2016-17,104478,Antonio Candreva,0,6.0,10.0,38.0,36.0,0.0,0.0
2016-17,104452,Antonio Mirante,0,0.0,0.0,21.0,21.0,0.0,0.0
2016-17,169438,Antonio Rüdiger,0,0.0,2.0,26.0,25.0,0.0,0.0
2016-17,179359,Arkadiusz Milik,0,5.0,0.0,17.0,4.0,0.0,0.0
2016-17,158023,Arlind Ajeti,0,1.0,0.0,4.0,3.0,0.0,0.0
2016-17,165490,Armando Izzo,0,0.0,2.0,29.0,29.0,0.0,0.0
2016-17,238907,Arnel Jakupovic,0,0.0,0.0,1.0,0.0,0.0,0.0
2016-17,133688,Artur Ionita,0,3.0,0.0,18.0,14.0,0.0,0.0
2016-17,213438,Assane Demoya Gnoukouri,0,0.0,0.0,4.0,0.0,0.0,0.0
2016-17,214305,Assane Dioussé,0,0.0,0.0,33.0,26.0,0.0,0.0
2016-17,239084,Axel Bakayoko,0,0.0,0.0,0.0,0.0,0.0,0.0
2016-17,220853,Bartlomiej Dragowski,0,0.0,0.0,1.0,1.0,0.0,0.0
2016-17,176726,Bartosz Bereszynski,0,0.0,0.0,13.0,11.0,0.0,0.0
2016-17,125004,Bartosz Salamon,0,0.0,0.0,15.0,9.0,0.0,0.0
2016-17,204602,Bastos,0,0.0,0.0,11.0,10.0,0.0,0.0
2016-17,252261,Bismark Ngissah,0,0.0,0.0,0.0,0.0,0.0,0.0
2016-17,9865,Bogdan Lobont,0,0.0,0.0,0.0,0.0,0.0,0.0
2016-17,71702,Borja Valero,0,1.0,10.0,32.0,31.0,0.0,0.0
2016-17,85210,Bostjan Cesar,0,1.0,0.0,17.0,16.0,0.0,0.0
2016-17,85086,Boukary Dramé,0,0.0,0.0,10.0,8.0,0.0,0.0
2016-17,35997,Bruno Alves,0,1.0,0.0,36.0,36.0,0.0,0.0
2016-17,124091,Bruno Fernandes,0,5.0,2.0,33.0,22.0,0.0,0.0
2016-17,188485,Bruno Henrique,0,1.0,3.0,33.0,24.0,0.0,0.0
2016-17,151685,Bruno Martella,0,0.0,0.0,29.0,26.0,0.0,0.0
2016-17,148321,Bruno Peres,0,2.0,2.0,30.0,24.0,0.0,0.0
2016-17,182097,Bruno Petkovic,0,0.0,0.0,12.0,4.0,0.0,0.0
2016-17,181266,Bryan Cabezas,0,0.0,0.0,1.0,0.0,0.0,0.0
2016-17,231440,Bryan Costa,0,0.0,0.0,0.0,0.0,0.0,0.0
2016-17,169213,Bryan Cristante,0,3.0,2.0,28.0,17.0,0.0,0.0
2016-17,121232,Carlos Bacca,0,13.0,3.0,32.0,26.0,0.0,0.0
2016-17,192187,Carlos Embaló,0,0.0,1.0,12.0,8.0,0.0,0.0
2016-17,184299,Carlos Salcedo,0,0.0,1.0,18.0,15.0,0.0,0.0
2016-17,101471,Carlos Sánchez,0,1.0,1.0,31.0,23.0,0.0,0.0
2016-17,121845,Carlão,0,0.0,0.0,4.0,4.0,0.0,0.0
2016-17,227299,Cassio Cardoselli,0,0.0,0.0,0.0,0.0,0.0,0.0
2016-17,214309,Cazim Suljic,0,0.0,0.0,2.0,0.0,0.0,0.0
2016-17,13754,Cesare Bovo,0,0.0,0.0,14.0,13.0,0.0,0.0
2016-17,254209,Cesare Pogliano,0,0.0,0.0,0.0,0.0,0.0,0.0
2016-17,243159,Christian Capone,0,0.0,0.0,0.0,0.0,0.0,0.0
2016-17,25030,Christian Maggio,0,0.0,0.0,7.0,4.0,0.0,0.0
2016-17,68586,Christian Molina,0,0.0,2.0,10.0,9.0,0.0,0.0
2016-17,95524,Christian Puggioni,0,0.0,0.0,21.0,21.0,0.0,0.0
2016-17,147969,Ciprian Tatarusanu,0,0.0,0.0,35.0,35.0,0.0,0.0
2016-17,130123,Ciro Immobile,0,23.0,3.0,37.0,36.0,0.0,0.0
2016-17,11809,Claiton Machado,0,0.0,1.0,10.0,9.0,0.0,0.0
2016-17,233526,Claud Adjapong,0,1.0,0.0,9.0,6.0,0.0,0.0
2016-17,104334,Claudio Marchisio,0,1.0,2.0,18.0,15.0,0.0,0.0
